total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
1980092.8631,46.1166,-9932.8728,1986663.6762,3315.9432,0.3406,0.3523
47011.3982,46.1388,-9765.1929,53414.5091,3315.9432,0.7721,0.7848
14467.1208,46.2254,-10357.8148,21462.7671,3315.9431,0.8307,0.8434
-560.8080,46.2211,-10338.0706,6415.0984,3315.9431,0.9502,0.9430
-2223.0844,46.2240,-10135.5271,4550.2755,3315.9431,0.9066,0.8995
-277.2818,46.1848,-9481.6959,5842.2862,3315.9432,0.9909,0.9886
-2320.5246,46.1186,-10098.4587,4415.8724,3315.9432,0.9952,0.9937
-2016.8811,46.1246,-10032.5770,4653.6282,3315.9431,0.5008,0.4995
-1211.2992,46.1165,-10139.0404,5565.6815,3315.9431,0.9936,0.9917
-2351.7889,46.1227,-10150.7762,4436.9213,3315.9431,0.9985,0.9979
-1141.0023,46.1255,-10187.5875,5684.5166,3315.9431,0.9806,0.9755
-2469.0536,46.1268,-10160.2050,4329.0815,3315.9432,0.9272,0.9207
-986.5509,46.1275,-10029.5991,5680.9777,3315.9431,0.9944,0.9931
-2463.2634,46.1230,-10129.1872,4303.8577,3315.9432,0.9969,0.9960
-2254.0259,46.1271,-10198.7202,4582.6240,3315.9431,0.5020,0.5005
-3050.9743,32.2214,-10348.7046,5454.6350,1810.8740,0.9948,0.9935
-6564.2629,27.1440,-10360.2252,4366.9698,-598.1516,0.9986,0.9983
-6158.8795,27.2171,-10360.3992,5635.4054,-1461.1028,0.9806,0.9753
-7846.6271,27.5772,-10359.8058,4292.6880,-1807.0865,0.9281,0.9209
-6582.2124,27.7383,-10358.9526,5680.8701,-1931.8682,0.9941,0.9929
-8056.9966,27.9086,-10355.4169,4256.3994,-1985.8877,0.9963,0.9958
-7769.6174,27.8032,-10352.7768,4569.0283,-2013.6721,0.5028,0.4999
-6840.0737,27.8337,-10354.1558,5516.0631,-2029.8147,0.9929,0.9919
-7965.4981,27.3924,-10353.7704,4400.9144,-2040.0345,0.9979,0.9978
-6677.3755,27.1080,-10354.5751,5697.0176,-2046.9260,0.9741,0.9716
-7981.7739,26.5661,-10356.0772,4399.5368,-2051.7997,0.9196,0.9114
-6621.8284,26.1058,-10357.8901,5765.3346,-2055.3788,0.9915,0.9909
-8012.0794,25.9441,-10358.1294,4378.1930,-2058.0871,0.9946,0.9945
-7757.7428,25.9915,-10359.5355,4635.9883,-2060.1870,0.5023,0.5006
-6805.8466,25.9004,-10357.6549,5587.7568,-2061.8489,0.9909,0.9903
