total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
8012732.3773,46.4737,-1000.0260,8010370.2428,3315.6868,0.4865,0.4870
2024489.6123,46.4751,-1013.2582,2022140.7087,3315.6868,0.5004,0.5000
106132.9398,46.2658,-1035.9367,103806.9239,3315.6868,0.0852,0.0888
48424.7094,46.2646,-1036.1633,46098.9214,3315.6868,0.0859,0.0805
24477.6837,46.2703,-1036.1633,22151.8900,3315.6868,0.1987,0.1841
10781.3447,46.2708,-1036.1633,8455.5504,3315.6868,0.8937,0.8895
7809.1959,46.2685,-1036.1633,5483.4039,3315.6867,0.8777,0.8734
7703.8101,46.2652,-1036.1633,5378.0214,3315.6868,0.1051,0.0931
7754.7103,46.2660,-1036.1630,5428.9205,3315.6868,0.9058,0.9037
7687.3404,46.2651,-1036.1613,5361.5498,3315.6868,0.8829,0.8800
7677.4033,46.2686,-1036.1603,5351.6082,3315.6868,0.1024,0.0908
7745.1514,46.2696,-1036.1564,5419.3513,3315.6868,0.9066,0.9048
7672.9870,46.2673,-1036.1496,5347.1825,3315.6868,0.8833,0.8807
7663.3660,46.2683,-1036.1173,5337.5281,3315.6868,0.1018,0.0903
7739.3694,46.2677,-1036.0408,5413.4556,3315.6869,0.9067,0.9050
6118.5324,22.4071,-1036.1596,5346.0048,1786.2801,0.8833,0.8807
3717.3357,14.9409,-1036.1632,5341.0790,-602.5210,0.1019,0.0904
2933.6926,14.8973,-1036.1630,5413.8571,-1458.8987,0.9066,0.9050
2515.5320,14.9037,-1036.1628,5342.0600,-1805.2689,0.8833,0.8806
2387.2089,14.9058,-1036.1630,5338.9648,-1930.4988,0.1018,0.0904
2398.8683,14.9115,-1036.1628,5405.0102,-1984.8907,0.9066,0.9050
2305.3206,14.9126,-1036.1626,5339.5132,-2012.9427,0.8833,0.8807
2285.1127,14.9147,-1036.1627,5335.6300,-2029.2693,0.1017,0.0904
2366.3911,14.9177,-1036.1625,5427.2534,-2039.6174,0.9066,0.9049
2276.3759,14.9169,-1036.1622,5344.2211,-2046.5999,0.8833,0.8807
2263.4002,14.9155,-1036.1620,5336.1875,-2051.5408,0.1017,0.0902
2348.3945,14.9177,-1036.1624,5424.8092,-2055.1700,0.9066,0.9050
2263.7220,14.9157,-1036.1624,5342.8856,-2057.9170,0.8833,0.8807
2251.5419,14.9176,-1036.1621,5332.8344,-2060.0480,0.1017,0.0903
2338.3086,14.9187,-1036.1620,5421.2874,-2061.7355,0.9067,0.9050
