total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
19662.0002,46.2904,-9216.5518,25516.3741,3315.8874,0.5272,0.5254
-1122.2292,46.2390,-8799.9527,4315.5972,3315.8874,0.8580,0.8451
-6825.1760,46.1089,-10341.0435,153.8712,3315.8875,0.9140,0.9118
-4379.5596,46.1617,-7814.7287,73.1200,3315.8875,0.9483,0.9440
-2058.7508,46.2078,-5451.7152,30.8692,3315.8875,0.9772,0.9758
-339.6185,46.1911,-3717.5227,15.8257,3315.8875,0.9802,0.9792
-1653.3852,46.2176,-5025.1195,9.6292,3315.8874,0.9677,0.9657
-347.1979,46.2954,-3718.7454,9.3648,3315.8874,0.9875,0.9853
1101.1324,46.1768,-2268.9779,8.0460,3315.8875,0.9945,0.9922
730.8642,46.1705,-2638.7705,7.5767,3315.8874,0.9874,0.9844
591.5298,46.1715,-2777.7337,7.2047,3315.8874,0.9907,0.9880
585.7332,46.1668,-2783.2232,6.9021,3315.8875,0.9954,0.9930
458.8204,46.1693,-2909.9386,6.7021,3315.8875,0.9889,0.9856
402.7022,46.1661,-2965.7609,6.4096,3315.8874,0.9916,0.9885
447.7177,46.1683,-2920.5529,6.2150,3315.8874,0.9959,0.9940
-8397.4307,22.5590,-10247.5479,7.1319,1820.4264,0.9879,0.9850
-10941.8314,14.9394,-10361.6329,6.9088,-602.0467,0.9904,0.9882
-11796.8733,14.8951,-10361.6328,6.6771,-1456.8126,0.9953,0.9939
-12144.0176,14.9028,-10361.6328,6.5988,-1803.8864,0.9875,0.9853
-12270.0624,14.9078,-10361.6328,6.4436,-1929.7810,0.9909,0.9890
-12324.8724,14.9104,-10361.6328,6.3432,-1984.4932,0.9956,0.9944
-12353.1443,14.9100,-10361.6328,6.2779,-2012.6994,0.9884,0.9861
-12369.7094,14.9148,-10361.6328,6.1164,-2029.1077,0.9917,0.9901
-12380.1845,14.9150,-10361.6328,6.0366,-2039.5034,0.9958,0.9947
-12387.1950,14.9165,-10361.6328,6.0368,-2046.5154,0.9893,0.9871
-12392.3040,14.9167,-10361.6328,5.8881,-2051.4760,0.9918,0.9902
-12395.9971,14.9172,-10361.6329,5.8374,-2055.1188,0.9959,0.9952
-12398.8016,14.9185,-10361.6328,5.7883,-2057.8755,0.9895,0.9872
-12400.9821,14.9191,-10361.6328,5.7454,-2060.0137,0.9921,0.9905
-12402.7098,14.9195,-10361.6328,5.7103,-2061.7068,0.9961,0.9956
