total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
-1490.9337,46.3924,-4909.6824,56.5695,3315.7867,0.3136,0.2943
-1291.5852,46.4137,-4661.9002,8.1146,3315.7867,0.6371,0.6249
259.0353,46.4034,-3108.8286,5.6737,3315.7867,0.0369,0.0383
494.6570,46.4137,-2872.6456,5.1021,3315.7867,0.9882,0.9885
956.0284,46.4082,-2411.1350,4.9684,3315.7867,0.9864,0.9870
996.8730,46.4112,-2370.2292,4.9043,3315.7867,0.0301,0.0309
1169.0540,46.4077,-2198.0863,4.9460,3315.7867,0.9921,0.9922
1270.9857,46.4010,-2096.0546,4.8526,3315.7867,0.9905,0.9909
1282.1497,46.3999,-2084.8496,4.8127,3315.7867,0.0308,0.0306
1213.7372,46.4019,-2153.3290,4.8776,3315.7867,0.9938,0.9945
1186.9733,46.4024,-2180.0144,4.7985,3315.7867,0.9919,0.9931
992.0915,46.4062,-2374.8715,4.7701,3315.7867,0.0304,0.0295
1072.8434,46.4035,-2294.1594,4.8126,3315.7867,0.9942,0.9951
896.3705,46.4091,-2470.5789,4.7535,3315.7867,0.9920,0.9934
1106.6691,46.3998,-2260.2323,4.7149,3315.7867,0.0329,0.0314
-8327.4957,22.3786,-10170.5697,4.8646,1815.8308,0.9942,0.9956
-10937.5505,14.9407,-10361.6328,4.7875,-595.6460,0.9911,0.9933
-11802.1144,14.8970,-10361.6328,4.7727,-1460.1512,0.0260,0.0276
-12149.4367,14.9051,-10361.6328,4.8565,-1807.5655,0.9936,0.9952
-12274.1583,14.9091,-10361.6329,4.7935,-1932.2281,0.9909,0.9932
-12328.0454,14.9132,-10361.6329,4.7665,-1986.0922,0.0254,0.0269
-12355.6724,14.9102,-10361.6328,4.8506,-2013.8004,0.9934,0.9951
-12371.8346,14.9128,-10361.6328,4.7907,-2029.9054,0.9913,0.9935
-12382.0508,14.9164,-10361.6328,4.7713,-2040.1057,0.0247,0.0263
-12388.8595,14.9162,-10361.6328,4.8424,-2046.9853,0.9935,0.9951
-12393.7926,14.9164,-10361.6328,4.7761,-2051.8522,0.9908,0.9932
-12397.3738,14.9189,-10361.6328,4.7667,-2055.4265,0.0266,0.0281
-12400.0113,14.9194,-10361.6328,4.8337,-2058.1316,0.9935,0.9951
-12402.1620,14.9185,-10361.6328,4.7823,-2060.2300,0.9911,0.9934
-12403.8448,14.9190,-10361.6328,4.7607,-2061.8916,0.0275,0.0291
