total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
1979.7146,46.0462,-6513.6500,8115.7394,331.5790,0.4918,0.4939
-3227.2815,46.0506,-5699.4197,2094.5086,331.5790,0.5014,0.5010
-7421.7422,46.0900,-7877.7254,78.3141,331.5790,0.0664,0.0690
-3735.1963,46.0889,-4142.2243,29.3600,331.5790,0.3628,0.3419
-3499.0417,46.0765,-3889.4186,12.7215,331.5790,0.5651,0.5398
-3991.4131,46.0817,-4377.1163,8.0425,331.5790,0.1123,0.1109
-3278.9839,46.0837,-3664.3160,7.6694,331.5790,0.9053,0.9021
-3143.9534,46.0813,-3529.0057,7.3920,331.5790,0.7962,0.7930
-3056.7592,46.0834,-3441.8085,7.3868,331.5790,0.1506,0.1494
-3026.8178,46.0741,-3412.0326,7.5617,331.5790,0.9117,0.9085
-3018.2470,46.0791,-3403.2141,7.3090,331.5790,0.8037,0.7993
-3079.1897,46.0790,-3464.1774,7.3296,331.5790,0.1488,0.1471
-2855.5222,46.0766,-3240.6837,7.5059,331.5790,0.9133,0.9084
-3004.5623,46.0776,-3389.4731,7.2541,331.5790,0.8067,0.7986
-3849.4527,46.0823,-4234.4657,7.3517,331.5790,0.1464,0.1454
-9994.9168,22.4816,-10208.3918,7.6193,183.3741,0.9116,0.9157
-10395.8954,14.9438,-10361.6328,7.3735,-56.5799,0.7898,0.7977
-10481.9528,14.8994,-10361.6328,7.4102,-142.6297,0.1479,0.1471
-10517.9737,14.9021,-10361.6328,7.6144,-178.8573,0.9115,0.9156
-10531.4324,14.9062,-10361.6328,7.3731,-192.0790,0.7903,0.7977
-10537.1451,14.9108,-10361.6328,7.3959,-197.8189,0.1466,0.1459
-10539.8680,14.9130,-10361.6328,7.6250,-200.7732,0.9116,0.9159
-10541.8338,14.9117,-10361.6328,7.3759,-202.4886,0.7946,0.8011
-10542.8716,14.9162,-10361.6328,7.4185,-203.5735,0.1457,0.1456
-10543.4114,14.9131,-10361.6328,7.6120,-204.3037,0.9130,0.9173
-10544.1771,14.9160,-10361.6328,7.3588,-204.8191,0.7915,0.7981
-10544.5094,14.9166,-10361.6328,7.4035,-205.1967,0.1466,0.1463
-10544.5980,14.9136,-10361.6328,7.6027,-205.4815,0.9100,0.9143
-10545.0522,14.9188,-10361.6329,7.3636,-205.7017,0.7920,0.7982
-10545.2171,14.9139,-10361.6328,7.3770,-205.8752,0.1461,0.1464
