total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
45085.6095,46.0595,-64.0358,44771.9973,331.5884,0.4552,0.4573
2577.9478,46.3250,-84.6343,2284.6688,331.5884,0.0717,0.0769
722.1385,46.4426,-68.9889,413.0964,331.5884,0.1678,0.1566
547.4838,46.3990,-67.3319,236.8283,331.5884,0.1252,0.1168
411.8073,46.3803,-66.7594,100.5980,331.5884,0.0204,0.0168
358.6574,46.3630,-71.7511,52.4571,331.5884,0.0376,0.0346
367.5067,46.3351,-60.0014,49.5846,331.5884,0.0445,0.0382
364.8553,46.3146,-60.2001,47.1524,331.5884,0.0635,0.0531
361.9393,46.3020,-61.5117,45.5607,331.5884,0.0794,0.0646
359.7197,46.2963,-62.0018,43.8369,331.5884,0.0963,0.0746
355.8016,46.2914,-62.7938,40.7156,331.5884,0.1196,0.0912
337.2270,46.3629,-78.6322,37.9080,331.5884,0.0165,0.0180
355.1037,46.3336,-97.9743,75.1560,331.5884,0.9154,0.9182
349.4509,46.0322,-103.6162,75.4466,331.5884,0.7470,0.7503
349.9116,46.0289,-102.9768,75.2711,331.5884,0.1472,0.1444
175.0551,22.2593,-103.5427,77.1346,179.2040,0.8944,0.8971
-70.7093,14.9490,-103.6163,74.6799,-56.7219,0.7453,0.7497
-155.7006,14.8997,-103.6163,75.0032,-141.9871,0.1456,0.1440
-190.2219,14.9040,-103.6161,76.9851,-178.4950,0.8909,0.8933
-205.9199,14.9067,-103.6158,74.7189,-191.9297,0.7426,0.7466
-211.3853,14.9124,-103.6156,75.0677,-197.7499,0.1448,0.1434
-212.4433,14.9121,-103.6154,76.9960,-200.7360,0.8890,0.8913
-216.6473,14.9118,-103.6155,74.5226,-202.4662,0.7409,0.7447
-217.4492,14.9152,-103.6154,74.8096,-203.5587,0.1440,0.1418
-216.1341,14.9144,-103.6154,76.8603,-204.2933,0.8871,0.8894
-218.9962,14.9161,-103.6154,74.5146,-204.8115,0.7387,0.7427
-218.8875,14.9158,-103.6154,75.0029,-205.1908,0.1435,0.1415
-217.0929,14.9151,-103.6154,77.0843,-205.4769,0.8859,0.8879
-219.6348,14.9170,-103.6154,74.7617,-205.6980,0.7390,0.7426
-219.5765,14.9173,-103.6154,74.9938,-205.8722,0.1439,0.1421
