total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
930.0188,45.8876,-89.6947,940.6663,33.1596,0.6723,0.6584
230.4676,45.8949,-61.2549,212.6680,33.1596,0.6866,0.6659
91.7445,45.9016,-58.2026,70.8859,33.1596,0.9130,0.9086
38.2098,45.8996,-59.3632,18.5138,33.1596,0.9956,0.9946
16.7794,45.9089,-77.2564,14.9672,33.1596,0.9863,0.9838
23.9538,45.9184,-68.8703,13.7461,33.1596,0.9912,0.9897
27.1961,45.9196,-64.8923,13.0092,33.1596,0.9983,0.9970
32.2747,45.9240,-59.5045,12.6955,33.1596,0.9932,0.9903
37.6368,45.9267,-53.3369,11.8873,33.1596,0.9954,0.9929
33.6993,45.9284,-57.4860,12.0972,33.1596,0.9992,0.9984
40.7128,45.9281,-50.0446,11.6696,33.1596,0.9950,0.9919
43.2897,45.9265,-46.9542,11.1578,33.1596,0.9964,0.9942
41.3336,45.9361,-49.0421,11.2800,33.1596,0.9994,0.9988
41.4419,45.9324,-49.0149,11.3648,33.1596,0.9949,0.9924
37.1226,45.9361,-52.4338,10.4606,33.1596,0.9969,0.9943
-33.9185,24.4431,-99.7958,11.5135,29.9208,0.9987,0.9982
-59.2161,14.8310,-103.4835,11.8794,17.5570,0.9915,0.9890
-69.4879,14.7247,-103.4788,11.6753,7.5908,0.9936,0.9915
-73.7733,14.7174,-103.4673,11.6015,3.3751,0.9987,0.9983
-75.0190,14.7195,-103.4629,11.8485,1.8760,0.9914,0.9889
-75.7788,14.7197,-103.4580,11.7116,1.2480,0.9935,0.9913
-76.2121,14.7199,-103.4602,11.5914,0.9367,0.9987,0.9982
-76.1513,14.7168,-103.4549,11.8235,0.7634,0.9913,0.9890
-76.3884,14.7178,-103.4492,11.6834,0.6596,0.9934,0.9914
-76.5506,14.7173,-103.4666,11.6043,0.5945,0.9987,0.9981
-76.3947,14.7155,-103.4655,11.8029,0.5524,0.9913,0.9887
-76.5635,14.7155,-103.4569,11.6530,0.5249,0.9934,0.9913
-76.6727,14.7139,-103.4555,11.5623,0.5067,0.9986,0.9981
-76.4160,14.7150,-103.4663,11.8406,0.4947,0.9912,0.9886
-76.6212,14.7146,-103.4668,11.6441,0.4868,0.9933,0.9912
