total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
-21.7908,46.1347,-410.6141,11.1019,331.5867,0.9480,0.9446
127.1398,46.1248,-251.2684,0.6968,331.5866,0.9859,0.9844
233.6481,46.0883,-144.4136,0.3867,331.5867,0.9875,0.9858
282.2227,46.0375,-95.7318,0.3302,331.5867,0.9913,0.9899
301.2478,45.9860,-76.5905,0.2656,331.5867,0.9932,0.9920
307.3479,45.9560,-70.4574,0.2627,331.5867,0.9934,0.9920
308.2772,45.9502,-69.4977,0.2381,331.5866,0.9949,0.9938
308.8795,45.9470,-69.4430,0.7888,331.5867,0.7280,0.7364
308.9416,45.9362,-70.0763,1.4950,331.5866,0.9869,0.9850
309.0985,45.9442,-69.3324,0.9000,331.5866,0.9882,0.9864
308.9027,45.9414,-69.3819,0.7566,331.5866,0.9889,0.9871
308.8172,45.9493,-69.3935,0.6747,331.5867,0.9893,0.9876
308.7661,45.9475,-69.3872,0.6193,331.5866,0.9896,0.9879
308.7426,45.9496,-69.3750,0.5813,331.5867,0.9899,0.9883
308.7237,45.9463,-69.3630,0.5538,331.5867,0.9900,0.9884
-718.2535,22.9845,-923.3750,0.5271,181.6100,0.9902,0.9886
-1078.2138,14.9415,-1036.1633,0.5134,-57.5054,0.9904,0.9887
-1163.3676,14.8933,-1036.1633,0.4977,-142.5952,0.9905,0.9889
-1199.5566,14.8980,-1036.1633,0.4871,-178.7784,0.9905,0.9889
-1212.8229,14.9068,-1036.1633,0.4755,-192.0419,0.9906,0.9891
-1218.5845,14.9093,-1036.1633,0.4684,-197.7988,0.9907,0.9892
-1221.5507,14.9136,-1036.1633,0.4594,-200.7603,0.9909,0.9893
-1223.2773,14.9123,-1036.1633,0.4532,-202.4795,0.9909,0.9893
-1224.3686,14.9125,-1036.1632,0.4488,-203.5667,0.9909,0.9894
-1225.1039,14.9130,-1036.1632,0.4448,-204.2985,0.9910,0.9895
-1225.6221,14.9164,-1036.1632,0.4396,-204.8150,0.9910,0.9895
-1226.0052,14.9158,-1036.1629,0.4351,-205.1932,0.9910,0.9895
-1226.2915,14.9160,-1036.1632,0.4343,-205.4787,0.9909,0.9894
-1226.5103,14.9151,-1036.1630,0.4368,-205.6993,0.9910,0.9895
-1226.6882,14.9151,-1036.1631,0.4330,-205.8732,0.9912,0.9897
