total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
50404.2555,46.4365,-10057.3454,60083.5857,331.5787,0.1668,0.1628
2733.5828,46.4371,-10327.8875,12683.4545,331.5787,0.7894,0.7773
-7156.0409,46.4367,-10316.9397,2782.8835,331.5787,0.9280,0.9242
-7341.8675,46.4377,-10300.8520,2580.9681,331.5787,0.9300,0.9267
-7275.4256,46.4403,-10228.8444,2575.3998,331.5787,0.9308,0.9275
-6635.8520,46.4410,-9553.9791,2540.1075,331.5787,0.9356,0.9297
-5363.8606,46.4191,-8097.8624,2356.0040,331.5787,0.9493,0.9373
-4737.1646,46.4067,-7141.7257,2026.5758,331.5787,0.9609,0.9427
-4857.6561,46.4025,-6995.1898,1759.5524,331.5787,0.9674,0.9444
-5222.8019,46.4026,-7196.9148,1596.1317,331.5787,0.9714,0.9445
-5485.0074,46.4012,-7328.0606,1465.0733,331.5787,0.9743,0.9460
-5718.6477,46.3952,-7454.1564,1357.5349,331.5787,0.9768,0.9445
-5972.0248,46.4021,-7604.8012,1254.7957,331.5787,0.9791,0.9450
-6258.7424,46.4018,-7805.4887,1168.7658,331.5787,0.9806,0.9427
-6499.3346,46.3986,-7964.3717,1087.0598,331.5787,0.9819,0.9454
-8507.7914,41.4676,-10030.1149,1299.1579,181.6980,0.9755,0.9345
-9111.3588,38.2157,-10358.9526,1267.4220,-58.0439,0.9764,0.9347
-9230.8824,35.9209,-10359.9157,1234.7783,-141.6659,0.9772,0.9342
-9294.4362,34.5145,-10360.3150,1207.7965,-176.4322,0.9778,0.9346
-9336.6716,31.6606,-10360.5301,1181.1253,-188.9273,0.9783,0.9341
-9366.7235,28.0212,-10360.4342,1159.7832,-194.0936,0.9788,0.9321
-9390.9647,25.0368,-10360.0496,1141.0049,-196.9568,0.9791,0.9318
-9416.0051,23.0914,-10360.1410,1120.0059,-198.9614,0.9794,0.9337
-9432.3761,21.7786,-10360.0298,1106.3138,-200.4387,0.9796,0.9294
-9454.4285,20.8066,-10360.1683,1086.4707,-201.5375,0.9807,0.9300
-9471.3263,20.1353,-10359.8463,1070.7575,-202.3728,0.9825,0.9325
-9507.7341,19.5908,-10359.7149,1035.4064,-203.0164,0.9837,0.9353
-9524.0720,19.1902,-10358.6944,1018.9578,-203.5256,0.9837,0.9356
-9530.3176,18.8426,-10358.4040,1013.1722,-203.9285,0.9838,0.9314
-9540.0245,18.5696,-10358.3637,1004.0311,-204.2615,0.9839,0.9345
