total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
36333.7789,46.4028,-4879.9260,8010.4345,33156.8676,0.4866,0.4870
30293.1729,46.4315,-4930.7528,2020.6268,33156.8673,0.4957,0.4971
27660.2537,46.2650,-5637.2758,94.3970,33156.8675,0.1325,0.1435
29489.0480,46.2641,-3762.8127,48.7292,33156.8675,0.0922,0.0955
29742.9726,46.2653,-3482.2203,22.0601,33156.8676,0.1193,0.1102
29441.9743,46.2804,-3769.9336,8.7599,33156.8677,0.0276,0.0256
30004.9729,46.2806,-3203.4559,5.2809,33156.8673,0.0452,0.0441
30124.6248,46.2864,-3083.6119,5.0826,33156.8676,0.0459,0.0443
29999.5400,46.2895,-3208.6143,4.9976,33156.8673,0.0470,0.0450
29876.8713,46.2916,-3331.2178,4.9299,33156.8676,0.0450,0.0420
29765.1921,46.2943,-3442.8698,4.9002,33156.8674,0.0301,0.0306
29918.5146,46.2963,-3289.5334,4.8844,33156.8672,0.0478,0.0447
29916.1297,46.2966,-3291.8379,4.8035,33156.8674,0.0505,0.0473
29769.0605,46.2994,-3438.8771,4.7706,33156.8677,0.0511,0.0471
29628.2525,46.3011,-3579.6527,4.7367,33156.8675,0.0515,0.0474
7645.9003,22.3906,-10215.0196,1.2746,17837.2547,0.9959,0.9967
-16405.9240,14.9396,-10361.6328,0.9990,-6060.2297,0.9977,0.9982
-24962.3372,14.8973,-10361.6327,0.9880,-14616.5897,0.9984,0.9988
-28412.4338,14.9038,-10361.6328,0.9834,-18066.6881,0.9990,0.9992
-29659.0053,14.9056,-10361.6328,0.9798,-19313.2579,0.9989,0.9992
-30200.4784,14.9117,-10361.6328,0.9766,-19854.7340,0.9990,0.9992
-30479.7931,14.9117,-10361.6328,0.9765,-20134.0485,0.9989,0.9992
-30642.3870,14.9141,-10361.6328,0.9746,-20296.6429,0.9989,0.9992
-30745.4593,14.9181,-10361.6328,0.9728,-20399.7175,0.9989,0.9991
-30815.0206,14.9172,-10361.6328,0.9711,-20469.2761,0.9989,0.9992
-30864.2494,14.9158,-10361.6328,0.9709,-20518.5033,0.9987,0.9991
-30900.4092,14.9179,-10361.6328,0.9709,-20554.6652,0.9987,0.9990
-30927.7835,14.9174,-10361.6328,0.9703,-20582.0383,0.9989,0.9992
-30949.0233,14.9188,-10361.6328,0.9666,-20603.2759,0.9989,0.9991
-30965.8416,14.9195,-10361.6328,0.9673,-20620.0956,0.9989,0.9992
