total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
2514.2837,46.5817,-383.8108,2818.3546,33.1582,0.5262,0.5252
443.5698,46.5456,-222.6469,586.5129,33.1582,0.8762,0.8750
-43.4520,46.4963,-131.2049,8.0985,33.1582,0.9480,0.9435
-4.0994,46.4543,-87.5210,3.8090,33.1582,0.9623,0.9592
9.2233,46.4403,-72.5806,2.2054,33.1582,0.9745,0.9720
11.4028,46.4405,-69.7006,1.5047,33.1582,0.9787,0.9763
11.4493,46.4452,-69.3548,1.2006,33.1582,0.9808,0.9778
11.3563,46.4455,-69.3201,1.0726,33.1582,0.9827,0.9786
11.3130,46.4497,-69.3155,1.0206,33.1582,0.9843,0.9809
11.2851,46.4486,-69.3149,0.9932,33.1582,0.9832,0.9795
11.2708,46.4485,-69.3149,0.9790,33.1582,0.9825,0.9786
11.2628,46.4503,-69.3150,0.9693,33.1582,0.9836,0.9799
11.2527,46.4508,-69.3152,0.9589,33.1582,0.9837,0.9799
11.2457,46.4526,-69.3155,0.9504,33.1582,0.9848,0.9812
11.2351,46.4513,-69.3158,0.9414,33.1582,0.9839,0.9805
-877.0320,23.7198,-926.1531,0.9320,24.4693,0.9848,0.9814
-1022.3053,14.9959,-1036.1633,0.9225,-2.0603,0.9869,0.9839
-1031.1515,14.9088,-1036.1633,0.9142,-10.8112,0.9856,0.9819
-1036.1355,14.9007,-1036.1633,0.9118,-15.7847,0.9834,0.9796
-1038.2588,14.9025,-1036.1633,0.8936,-17.8916,0.9846,0.9812
-1039.2458,14.9044,-1036.1633,0.8820,-18.8689,0.9848,0.9815
-1039.7659,14.9072,-1036.1633,0.8714,-19.3812,0.9855,0.9819
-1040.0734,14.9081,-1036.1631,0.8571,-19.6755,0.9859,0.9824
-1040.2649,14.9093,-1036.1632,0.8456,-19.8566,0.9869,0.9846
-1040.3923,14.9070,-1036.1632,0.8377,-19.9738,0.9885,0.9860
-1040.4836,14.9068,-1036.1631,0.8251,-20.0524,0.9899,0.9875
-1040.5422,14.9089,-1036.1631,0.8184,-20.1065,0.9901,0.9877
-1040.6003,14.9085,-1036.1628,0.7983,-20.1444,0.9876,0.9853
-1040.6441,14.9078,-1036.1629,0.7822,-20.1712,0.9874,0.9852
-1040.6847,14.9063,-1036.1630,0.7626,-20.1906,0.9881,0.9853
