total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
312568.7626,46.5083,-958.4835,313149.1639,331.5739,0.1544,0.1664
8388.0444,46.4212,-1000.0363,9010.0856,331.5739,0.1361,0.1446
2451.9766,46.4131,-1036.0547,3110.0444,331.5739,0.1355,0.1276
345.1997,46.4137,-1035.7267,1002.9388,331.5739,0.8045,0.7943
83.9588,46.4102,-1027.6810,733.6558,331.5739,0.7697,0.7556
83.2607,46.4129,-1018.2740,723.5478,331.5739,0.0545,0.0492
67.1119,46.4137,-1034.8670,723.9914,331.5739,0.8333,0.8254
102.0776,46.4131,-984.5986,708.6893,331.5739,0.7835,0.7708
260.5640,46.4126,-821.7411,704.3186,331.5739,0.0502,0.0467
130.1718,46.4986,-984.8092,736.9085,331.5739,0.8409,0.8339
60.9368,46.5152,-1036.1633,719.0110,331.5739,0.7865,0.7744
54.0448,46.5177,-1036.1542,712.1074,331.5739,0.0497,0.0460
58.8616,46.5180,-1035.3773,716.1470,331.5739,0.8387,0.8317
117.6447,46.5127,-966.2608,705.8190,331.5739,0.7862,0.7744
318.5251,46.5143,-762.4908,702.9278,331.5739,0.0501,0.0466
-116.4555,22.4635,-1030.5121,709.8426,181.7504,0.8431,0.8365
-379.9217,14.9454,-1036.1633,698.4222,-57.1259,0.7920,0.7807
-468.2001,14.8984,-1036.1633,695.4711,-142.4062,0.0479,0.0460
-496.4704,14.9024,-1036.1633,703.4256,-178.6350,0.8490,0.8429
-521.8712,14.9056,-1036.1633,691.3377,-191.9511,0.7980,0.7872
-531.2128,14.9094,-1036.1633,687.7822,-197.7410,0.0470,0.0452
-523.0060,14.9125,-1036.1633,698.9662,-200.7214,0.8545,0.8486
-537.4329,14.9119,-1036.1633,686.2703,-202.4518,0.8040,0.7938
-541.4489,14.9119,-1036.1633,683.3485,-203.5460,0.0452,0.0433
-532.5698,14.9147,-1036.1632,692.9613,-204.2825,0.8592,0.8536
-545.6834,14.9119,-1036.1632,680.3702,-204.8023,0.8089,0.7990
-546.0126,14.9174,-1036.1631,680.4161,-205.1831,0.0448,0.0433
-536.6745,14.9157,-1036.1632,690.0432,-205.4702,0.8631,0.8576
-549.5420,14.9167,-1036.1628,677.3963,-205.6922,0.8123,0.8027
-550.3100,14.9172,-1036.1628,676.8027,-205.8671,0.0438,0.0422
