total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
10199.3304,46.0218,-945.6766,10767.4086,331.5766,0.9426,0.9383
625.0398,46.0146,-947.5595,1195.0082,331.5766,0.9887,0.9860
820.2396,46.1378,-738.1264,1180.6516,331.5766,0.9647,0.9595
775.1480,46.2866,-654.0410,1051.3258,331.5766,0.9724,0.9672
742.4692,46.2776,-618.0992,982.7142,331.5766,0.9914,0.9890
642.6179,46.2832,-651.9456,916.7037,331.5766,0.9721,0.9664
567.4384,46.2792,-675.0762,864.6588,331.5766,0.9785,0.9730
460.5768,46.2865,-723.1364,805.8501,331.5766,0.9935,0.9911
393.4696,46.2909,-746.9526,762.5547,331.5766,0.9771,0.9714
327.7207,46.2837,-773.9099,723.7703,331.5766,0.9839,0.9772
264.5028,46.2862,-785.3002,671.9403,331.5766,0.9949,0.9927
247.8604,46.2906,-769.5214,639.5146,331.5766,0.9807,0.9736
193.1486,46.2898,-795.0678,610.3500,331.5766,0.9877,0.9808
139.8232,46.2947,-805.2706,567.2225,331.5766,0.9961,0.9937
138.5511,46.2872,-779.5706,540.2578,331.5766,0.9869,0.9791
-168.9318,29.4088,-1023.9504,645.0991,180.5108,0.9878,0.9837
-446.0353,23.8400,-1036.0538,623.5771,-57.3986,0.9957,0.9943
-544.2524,23.8221,-1036.0749,611.0081,-143.0076,0.9845,0.9793
-594.3762,24.0608,-1036.0583,596.6921,-179.0708,0.9887,0.9869
-624.9594,24.1362,-1036.0644,579.1780,-192.2091,0.9960,0.9950
-632.0456,24.1239,-1036.0242,577.7292,-197.8746,0.9859,0.9818
-643.8536,24.0683,-1036.0097,568.8579,-200.7702,0.9901,0.9885
-655.3467,24.0622,-1035.0430,558.0718,-202.4376,0.9963,0.9954
-647.5066,25.2828,-1032.4795,563.1580,-203.4680,0.9865,0.9828
-660.3304,25.9258,-1034.6902,552.5470,-204.1131,0.9901,0.9886
-669.7069,25.5402,-1035.8861,545.1521,-204.5130,0.9965,0.9954
-673.1464,24.5844,-1034.4478,541.4589,-204.7419,0.9875,0.9843
-676.5586,23.0724,-1033.9084,539.1303,-204.8529,0.9908,0.9887
-679.2415,21.0837,-1033.8574,538.5348,-205.0026,0.9966,0.9960
-683.1625,22.8659,-1034.0705,533.0515,-205.0095,0.9876,0.9853
