total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
33024.4084,46.4235,-553.9513,372.3666,33159.5695,0.5903,0.5802
32800.5906,46.4549,-444.6739,39.2404,33159.5692,0.4537,0.4481
32907.1651,46.4518,-313.6539,14.7977,33159.5694,0.7664,0.7581
32905.6473,46.3733,-304.4649,4.1695,33159.5694,0.0678,0.0699
32983.7324,46.3630,-226.1384,3.9381,33159.5697,0.0654,0.0675
32982.7862,46.3738,-226.9133,3.7562,33159.5695,0.0703,0.0706
32983.3962,46.3730,-226.1783,3.6323,33159.5692,0.0771,0.0765
32985.1239,46.3785,-224.3965,3.5724,33159.5695,0.0774,0.0762
32976.9523,46.3850,-232.4899,3.4878,33159.5693,0.0862,0.0838
32971.0678,46.3876,-238.3614,3.4721,33159.5695,0.0879,0.0859
32988.8648,46.3869,-220.4837,3.3920,33159.5696,0.0954,0.0919
32958.4191,46.3935,-250.8884,3.3448,33159.5692,0.1017,0.0971
32961.8777,46.3963,-247.4063,3.3181,33159.5696,0.1102,0.1046
32955.6522,46.3940,-253.6321,3.3209,33159.5694,0.0683,0.0678
32957.3162,46.4019,-251.9400,3.2849,33159.5694,0.1161,0.1091
16835.1701,22.3318,-1011.5174,3.5016,17820.8540,0.0412,0.0424
-7068.6603,14.9365,-1036.1633,3.4742,-6050.9076,0.0464,0.0478
-15542.3501,14.8960,-1036.1633,3.4652,-14524.5480,0.0468,0.0482
-19046.6849,14.9032,-1036.1633,3.4591,-18028.8838,0.0445,0.0458
-20317.2336,14.9065,-1036.1633,3.4484,-19299.4252,0.0466,0.0479
-20866.4929,14.9086,-1036.1633,3.4432,-19848.6814,0.0450,0.0463
-21148.7452,14.9138,-1036.1633,3.4387,-20130.9344,0.0443,0.0456
-21312.6516,14.9116,-1036.1633,3.4353,-20294.8351,0.0443,0.0457
-21416.3869,14.9155,-1036.1633,3.4316,-20398.5708,0.0452,0.0466
-21486.3175,14.9157,-1036.1633,3.4283,-20468.4982,0.0472,0.0485
-21535.7774,14.9136,-1036.1633,3.4193,-20517.9470,0.0474,0.0488
-21572.0760,14.9179,-1036.1633,3.4206,-20554.2512,0.0482,0.0497
-21599.5400,14.9169,-1036.1633,3.4262,-20581.7198,0.0440,0.0454
-21620.8505,14.9182,-1036.1631,3.4192,-20603.0247,0.0454,0.0467
-21637.7301,14.9163,-1036.1631,3.4089,-20619.8922,0.0464,0.0478
