total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
71646.1543,46.1338,-9.4703,71576.3328,33.1579,0.5030,0.5023
47824.9950,46.1364,-9.1165,47754.8173,33.1579,0.5088,0.5061
24015.9432,46.1328,-7.9471,23944.5996,33.1579,0.5366,0.5341
3518.6492,46.1492,-7.8347,3447.1769,33.1579,0.8545,0.8472
284.6648,46.1585,-8.8915,214.2399,33.1579,0.8874,0.8810
211.7867,46.1395,-5.7300,138.2194,33.1579,0.9153,0.9125
149.4054,46.1383,-5.2108,75.3201,33.1579,0.9505,0.9478
109.3652,46.1358,-4.2978,34.3693,33.1579,0.9670,0.9644
91.8457,46.1377,-4.4649,17.0151,33.1579,0.9674,0.9640
87.4378,46.1408,-3.6370,11.7761,33.1579,0.9910,0.9893
85.2241,46.1334,-3.2967,9.2296,33.1579,0.9934,0.9913
84.4020,46.1320,-3.1954,8.3075,33.1579,0.9814,0.9766
83.8133,46.1380,-3.3369,7.8544,33.1579,0.9944,0.9926
83.6466,46.1312,-3.1233,7.4808,33.1579,0.9945,0.9926
83.1672,46.1336,-3.2793,7.1550,33.1579,0.9839,0.9788
51.7384,23.1985,-9.7684,8.2933,30.0149,0.9909,0.9882
26.1142,15.0238,-10.3448,5.7012,15.7339,0.9911,0.9881
17.5929,14.9160,-10.3351,6.3301,6.6820,0.9946,0.9927
15.4321,14.9106,-10.3330,7.4975,3.3570,0.9794,0.9759
13.8447,14.9163,-10.3353,7.3041,1.9595,0.9948,0.9929
13.0163,14.9206,-10.3314,7.1089,1.3182,0.9947,0.9928
12.4388,14.9202,-10.3379,6.8657,0.9908,0.9797,0.9761
12.1473,14.9222,-10.3391,6.7562,0.8080,0.9951,0.9935
11.9060,14.9217,-10.3412,6.6268,0.6986,0.9950,0.9934
11.7320,14.9250,-10.3426,6.5198,0.6298,0.9810,0.9768
11.6064,14.9203,-10.3423,6.4438,0.5845,0.9954,0.9942
11.4846,14.9236,-10.3415,6.3487,0.5538,0.9952,0.9941
11.3657,14.9227,-10.3403,6.2507,0.5326,0.9815,0.9775
11.2642,14.9225,-10.3419,6.1661,0.5176,0.9955,0.9944
11.2254,14.9211,-10.3419,6.1394,0.5068,0.9954,0.9943
