total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
33850.7273,46.1937,-637.9208,1283.7900,33158.6643,0.9513,0.9472
32722.5464,46.0625,-678.5848,196.4045,33158.6642,0.9882,0.9876
32757.6999,46.0491,-610.4386,163.4253,33158.6643,0.9675,0.9630
32830.4972,46.0609,-522.8622,148.6343,33158.6641,0.9783,0.9752
32859.5565,46.0660,-480.9353,135.7616,33158.6642,0.9938,0.9937
32645.3509,46.0719,-691.9636,132.5784,33158.6643,0.9804,0.9769
32783.5264,46.0722,-539.4536,118.2433,33158.6645,0.9867,0.9840
32540.2837,46.0658,-787.7874,123.3411,33158.6643,0.9963,0.9963
32515.4118,46.0774,-800.9070,111.5771,33158.6643,0.9861,0.9832
32573.4627,46.0749,-734.0597,102.7834,33158.6642,0.9906,0.9880
32592.0337,46.0688,-704.9124,92.2131,33158.6642,0.9984,0.9978
32647.1566,46.0773,-644.0568,86.4718,33158.6643,0.9841,0.9830
32331.9654,46.0257,-995.4128,122.6882,33158.6643,0.9870,0.9870
32312.9439,46.0243,-1012.9004,121.1557,33158.6644,0.9968,0.9971
32293.1933,46.0187,-1035.5656,124.0754,33158.6648,0.9821,0.9830
17398.7454,22.7697,-1036.0670,124.6635,18287.3792,0.9856,0.9861
-6928.9266,15.1172,-1036.1576,122.4491,-6030.3352,0.9967,0.9971
-15545.6062,15.0624,-1036.1581,124.4677,-14648.9782,0.9818,0.9832
-18978.1932,15.0668,-1036.1409,123.7131,-18080.8322,0.9854,0.9861
-20219.1099,15.0676,-1036.1505,122.9355,-19320.9625,0.9967,0.9971
-20756.6769,15.0688,-1036.1538,124.0772,-19859.6691,0.9817,0.9830
-21034.6525,15.0731,-1036.1551,123.9187,-20137.4892,0.9852,0.9859
-21197.7828,15.0723,-1036.1514,122.4753,-20299.1790,0.9967,0.9971
-21298.1859,15.0721,-1036.1449,124.5509,-20401.6641,0.9814,0.9827
-21367.3138,15.0765,-1036.1497,124.5765,-20470.8172,0.9851,0.9858
-21418.5111,15.0785,-1036.1351,122.2983,-20519.7527,0.9966,0.9970
-21452.2721,15.0715,-1036.1463,124.5011,-20555.6985,0.9812,0.9824
-21479.9904,15.0721,-1036.1490,123.9936,-20582.9071,0.9848,0.9854
-21501.9661,15.0718,-1036.1502,123.1280,-20604.0157,0.9965,0.9969
-21517.1563,15.0717,-1036.1452,124.6496,-20620.7324,0.9807,0.9819
