total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
2827746.9576,46.5613,-10050.8889,2837718.1277,33.1575,0.5246,0.5247
600505.3450,46.5691,-10333.2470,610758.8654,33.1575,0.7907,0.7854
26269.5223,46.5681,-10235.3876,36425.1843,33.1575,0.8674,0.8580
12347.6145,46.4124,-8436.2530,20704.2976,33.1575,0.9129,0.9046
1511.9210,46.3468,-8463.0332,9895.4500,33.1575,0.9527,0.9474
-5258.9225,46.3272,-8353.4128,3015.0057,33.1575,0.9907,0.9882
-7205.3466,46.3107,-8391.8038,1106.9890,33.1575,0.9845,0.9817
-7341.9198,46.3157,-8501.0761,1079.6832,33.1575,0.9914,0.9892
-7366.8953,46.3138,-8474.6798,1028.3132,33.1575,0.9802,0.9754
-7538.1596,46.3291,-8639.3049,1021.6588,33.1575,0.9938,0.9918
-7817.6128,46.3002,-8884.8160,987.7455,33.1575,0.9597,0.9516
-7682.6585,46.2956,-8794.1372,1032.0257,33.1575,0.9667,0.9585
-8480.8873,46.2002,-9685.1133,1124.8684,33.1575,0.9891,0.9870
-9602.4463,46.1388,-10361.1388,679.3963,33.1575,0.9901,0.9878
-9638.6723,46.1397,-10361.2217,643.2523,33.1575,0.9905,0.9880
-9705.0694,22.6768,-10361.5344,614.0597,19.7284,0.9907,0.9880
-9760.3017,15.0180,-10361.6280,589.4927,-3.1844,0.9909,0.9889
-9788.7128,14.9279,-10361.6328,569.0032,-11.0111,0.9910,0.9895
-9811.5920,14.9136,-10361.6328,550.6562,-15.5290,0.9912,0.9897
-9832.2533,14.9143,-10361.6328,532.1385,-17.6734,0.9915,0.9900
-9847.2712,14.9145,-10361.6325,518.1760,-18.7293,0.9917,0.9899
-9864.0747,14.9161,-10361.6329,501.9336,-19.2916,0.9919,0.9901
-9875.2745,14.9182,-10361.6308,491.0536,-19.6155,0.9921,0.9901
-9890.2495,14.9182,-10361.6311,476.2780,-19.8146,0.9921,0.9904
-9900.5652,14.9265,-10361.5350,465.9866,-19.9434,0.9922,0.9906
-9910.5783,14.9306,-10361.6135,456.1343,-20.0296,0.9923,0.9908
-9919.6088,14.9300,-10361.6271,447.1776,-20.0892,0.9924,0.9909
-9927.7814,14.9291,-10361.6283,439.0491,-20.1312,0.9923,0.9908
-9932.8245,14.9287,-10361.5920,434.0001,-20.1612,0.9926,0.9913
-9941.0610,14.9300,-10361.6328,425.8247,-20.1829,0.9927,0.9914
