total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
-2045.5452,46.2029,-9130.5903,3723.1304,3315.7120,0.9016,0.8960
-3304.1199,46.2035,-7202.3851,536.3497,3315.7120,0.9910,0.9900
-4268.6967,46.2082,-8173.5390,542.9220,3315.7120,0.9606,0.9560
-5247.4014,46.2164,-9134.4788,525.1490,3315.7119,0.9925,0.9923
-5384.6058,46.2162,-9283.2502,536.7162,3315.7119,0.9667,0.9616
-4889.2890,46.2238,-8766.4732,515.2485,3315.7119,0.9934,0.9930
-4815.0942,46.2287,-8707.9690,530.9341,3315.7120,0.9688,0.9636
-5800.9501,46.2282,-9672.5533,509.6631,3315.7120,0.9935,0.9928
-5583.8134,46.2325,-9463.2477,517.4898,3315.7119,0.9624,0.9599
-6299.9841,46.1996,-10187.7077,525.8121,3315.7120,0.9923,0.9921
-6000.3194,46.2181,-9893.9616,531.7122,3315.7120,0.9687,0.9632
-5913.8138,46.2289,-9779.7558,504.0012,3315.7119,0.9930,0.9921
-6002.3956,46.2352,-9869.8690,505.5263,3315.7119,0.9730,0.9631
-6017.4073,46.2388,-9859.1337,479.7757,3315.7119,0.9939,0.9923
-5921.0861,46.2442,-9766.4486,483.4064,3315.7120,0.9749,0.9619
-8001.0416,22.5600,-10335.8418,528.8851,1783.3551,0.9904,0.9905
-10407.3516,15.0218,-10361.6328,541.9220,-602.6627,0.9562,0.9526
-11268.7743,14.9729,-10361.6328,531.4062,-1453.5206,0.9907,0.9908
-11608.7446,14.9780,-10361.6154,540.8593,-1802.9666,0.9562,0.9526
-11745.9494,14.9810,-10361.6146,530.2919,-1929.6075,0.9909,0.9911
-11790.8382,14.9850,-10361.6320,540.2728,-1984.4641,0.9565,0.9530
-11827.7196,14.9890,-10361.6329,531.6248,-2012.7005,0.9909,0.9910
-11834.9875,14.9887,-10361.6328,540.7715,-2029.1149,0.9559,0.9526
-11856.4285,14.9904,-10361.6131,529.7052,-2039.5110,0.9910,0.9912
-11853.3480,14.9953,-10361.6281,539.8069,-2046.5222,0.9559,0.9526
-11870.2248,14.9973,-10361.6306,527.8900,-2051.4815,0.9911,0.9914
-11863.2190,14.9984,-10361.6204,538.5263,-2055.1233,0.9555,0.9523
-11877.4492,14.9974,-10361.6191,527.0517,-2057.8793,0.9911,0.9913
-11867.3250,14.9995,-10361.6328,539.3250,-2060.0168,0.9556,0.9525
-11879.8123,14.9979,-10361.6328,528.5319,-2061.7093,0.9912,0.9914
