total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
751992.2222,45.8629,-100.3945,751715.1739,331.5799,0.5024,0.5015
513708.5221,45.8600,-103.2312,513434.3135,331.5798,0.5073,0.5046
275476.4750,45.8593,-103.0240,275202.0598,331.5798,0.5268,0.5254
55838.9347,45.8622,-99.8397,55561.3324,331.5799,0.7790,0.7750
3767.6119,45.8287,-94.8503,3485.0536,331.5798,0.8526,0.8443
2062.0789,45.8309,-94.9466,1779.6147,331.5799,0.9147,0.9111
1002.5311,45.8271,-94.6714,719.7956,331.5799,0.9642,0.9606
529.9040,45.8242,-94.1316,246.6316,331.5799,0.9847,0.9839
412.3691,45.8069,-92.6010,127.5834,331.5798,0.9891,0.9864
434.6892,45.8155,-92.4475,149.7413,331.5799,0.9718,0.9650
429.8860,45.8136,-91.8947,144.3872,331.5799,0.9933,0.9910
425.0530,45.8101,-88.5793,136.2423,331.5799,0.9689,0.9619
421.0716,45.8106,-85.2850,128.9661,331.5799,0.9940,0.9917
420.6634,45.8102,-84.8917,128.1651,331.5799,0.9702,0.9635
409.0676,45.8098,-88.8464,120.5244,331.5799,0.9949,0.9926
233.9841,41.1197,-101.5579,114.5094,179.9129,0.9716,0.9645
-12.1759,37.4095,-102.3962,111.0682,-58.2574,0.9954,0.9933
-99.0775,34.9254,-102.3056,109.1749,-140.8722,0.9728,0.9640
-138.7302,33.4252,-102.3597,106.3238,-176.1196,0.9957,0.9934
-158.1484,30.7126,-102.7888,103.2793,-189.3514,0.9726,0.9657
-169.9491,27.9401,-102.7308,99.7610,-194.9195,0.9962,0.9941
-179.5575,25.4493,-103.3624,96.1272,-197.7716,0.9737,0.9660
-186.7243,23.5745,-103.1610,92.4104,-199.5481,0.9966,0.9947
-192.3012,22.1480,-103.3036,89.6932,-200.8388,0.9743,0.9667
-197.4396,21.1281,-103.4283,86.6825,-201.8219,0.9970,0.9949
-200.4884,20.3625,-103.4183,85.1565,-202.5891,0.9757,0.9688
-204.4315,19.8132,-103.3935,82.3365,-203.1876,0.9972,0.9951
-207.1848,19.3269,-103.3802,80.5328,-203.6643,0.9757,0.9684
-201.4964,19.4583,-101.2614,84.3390,-204.0323,0.9973,0.9955
-203.9356,18.7834,-102.1749,83.7577,-204.3017,0.9762,0.9678
