total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
61382.9354,46.7285,-5.3836,28183.3840,33158.2066,0.5261,0.5252
39119.8385,46.7712,-7.0697,5921.9301,33158.2069,0.8555,0.8535
33295.9084,46.4338,-8.8798,100.1475,33158.2069,0.9290,0.9265
33240.9133,46.6194,-3.6527,39.7400,33158.2067,0.9657,0.9629
33227.9789,46.6172,-2.7326,25.8873,33158.2070,0.9540,0.9516
33221.6342,46.5864,-2.8090,19.6500,33158.2068,0.9864,0.9850
33218.6009,46.5872,-2.7211,16.5275,33158.2073,0.9568,0.9521
33217.1427,46.5694,-2.6767,15.0437,33158.2063,0.9902,0.9873
33216.5242,46.5843,-2.7561,14.4893,33158.2067,0.9742,0.9711
33216.0628,46.6020,-2.5345,13.7884,33158.2069,0.9909,0.9882
33215.7476,46.5714,-2.6681,13.6379,33158.2065,0.9701,0.9658
33215.0490,46.6644,-3.0336,13.2116,33158.2067,0.9914,0.9883
33215.5599,46.8432,-2.4049,12.9148,33158.2068,0.9745,0.9709
33212.8983,46.5845,-3.4795,11.5862,33158.2071,0.9872,0.9839
33208.5050,46.6817,-5.2101,8.8270,33158.2063,0.9920,0.9894
18378.0766,23.0394,-10.2450,8.5444,18356.7379,0.9755,0.9728
-5999.5584,14.9479,-10.3590,9.1397,-6013.2871,0.9925,0.9905
-14645.1636,14.8963,-10.3587,8.9269,-14658.6281,0.9924,0.9906
-18076.6539,14.9029,-10.3583,8.7188,-18089.9173,0.9764,0.9741
-19312.5675,14.9083,-10.3582,8.5856,-19325.7032,0.9927,0.9909
-19849.6511,14.9090,-10.3583,8.2673,-19862.4691,0.9931,0.9914
-20126.7268,14.9117,-10.3582,8.0519,-20139.3323,0.9773,0.9746
-20288.0057,14.9127,-10.3583,7.9234,-20300.4835,0.9937,0.9924
-20390.3253,14.9154,-10.3582,7.7527,-20402.6352,0.9936,0.9921
-20459.3541,14.9163,-10.3582,7.6559,-20471.5681,0.9786,0.9760
-20508.2712,14.9145,-10.3582,7.5227,-20520.3502,0.9941,0.9929
-20544.1510,14.9180,-10.3582,7.4738,-20556.1846,0.9940,0.9932
-20571.4194,14.9187,-10.3582,7.3303,-20583.3101,0.9793,0.9773
-20592.5333,14.9204,-10.3581,7.2590,-20604.3546,0.9944,0.9933
-20609.2742,14.9185,-10.3582,7.1875,-20621.0220,0.9943,0.9936
