total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
20060.6836,46.2184,-1005.9364,17704.6217,3315.7798,0.2079,0.2114
5669.2424,46.2185,-1019.2039,3326.4480,3315.7798,0.0982,0.0945
4027.0758,46.2016,-967.3199,1632.4142,3315.7798,0.7680,0.7570
3035.8214,46.1675,-958.3396,632.2137,3315.7798,0.0702,0.0713
2974.8625,46.1569,-944.3856,557.3114,3315.7798,0.3933,0.3597
2976.6589,46.1405,-902.0766,516.8152,3315.7798,0.9621,0.9525
2992.2570,46.1101,-819.3494,449.7164,3315.7798,0.1157,0.1018
3009.5890,46.0861,-782.6587,430.3817,3315.7798,0.6778,0.5342
2997.7891,46.0635,-757.1083,393.0541,3315.7798,0.9876,0.9676
2887.7912,46.0639,-796.2957,322.2432,3315.7798,0.3097,0.2180
3152.5125,46.0593,-790.4594,581.1327,3315.7799,0.2980,0.2678
2967.3542,46.0599,-765.4666,370.9810,3315.7798,0.9963,0.9586
2985.2621,46.0591,-756.1590,379.5822,3315.7799,0.9954,0.9419
2954.8487,46.0573,-756.4178,349.4294,3315.7798,0.3477,0.2608
2928.5749,46.0533,-764.9882,331.7299,3315.7798,0.9972,0.9551
1157.3624,41.9744,-1012.3889,308.0208,1819.7562,0.9941,0.9491
-1307.7512,40.5496,-1035.4632,291.6173,-604.4550,0.4563,0.3456
-2163.0593,41.2509,-1035.1661,286.9989,-1456.1431,0.9961,0.9490
-2530.5560,42.4702,-1034.5421,265.5274,-1804.0115,0.9945,0.9512
-2666.9100,43.0539,-1034.4935,254.5537,-1930.0240,0.5539,0.4172
-2720.5498,43.3064,-1033.4033,254.1983,-1984.6513,0.9967,0.9518
-2753.3552,43.3746,-1029.4657,245.5125,-2012.7766,0.9940,0.9503
-2528.0136,48.3938,-1019.4726,471.9857,-2028.9204,0.3885,0.3540
-2556.8890,36.7604,-1032.8099,478.3594,-2039.1989,0.9688,0.9455
-2592.4898,36.9225,-1034.5496,451.4460,-2046.3088,0.9650,0.9426
-2599.9810,36.9269,-1035.4462,449.8562,-2051.3179,0.4057,0.3521
-2594.4027,36.9233,-1035.0792,458.7364,-2054.9833,0.9725,0.9462
-2615.6105,37.1385,-1034.8233,439.8219,-2057.7476,0.9665,0.9361
-2621.6526,37.4000,-1034.0799,434.9105,-2059.8832,0.4271,0.3681
-2603.8732,37.5744,-1030.8902,451.0079,-2061.5652,0.9732,0.9475
