total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
172150.5401,46.2879,-9.9411,168798.3269,3315.8665,0.5566,0.5537
13419.8741,46.2774,-10.2813,10068.0115,3315.8665,0.8288,0.8161
4464.3227,46.2864,-9.8659,1112.0357,3315.8665,0.9298,0.9268
3614.9820,46.5193,-8.7284,261.3246,3315.8665,0.9859,0.9837
3504.3958,46.6666,-9.4940,151.3567,3315.8665,0.9927,0.9912
3515.1835,46.6602,-9.4856,162.1424,3315.8665,0.9917,0.9895
3511.6033,46.6558,-9.5697,158.6507,3315.8665,0.9773,0.9735
3496.2509,46.6488,-9.3881,143.1238,3315.8665,0.9982,0.9979
3492.8523,46.6543,-9.6244,139.9559,3315.8665,0.8159,0.8115
3501.8497,46.6637,-9.8849,149.2045,3315.8665,0.9973,0.9967
3504.4982,46.6488,-9.6242,151.6072,3315.8665,0.9963,0.9955
3498.2212,46.6543,-9.7980,145.4984,3315.8665,0.9981,0.9977
3485.8629,46.6515,-9.7607,133.1056,3315.8665,0.9942,0.9924
3485.6168,46.6446,-9.4171,132.5229,3315.8665,0.9957,0.9951
3501.0068,46.6635,-9.8582,148.3350,3315.8665,0.9949,0.9936
1997.4344,36.6150,-10.0059,142.9660,1827.8593,0.9836,0.9803
-448.5143,30.6523,-10.0963,133.5399,-602.6103,0.9989,0.9985
-1315.1337,29.7497,-10.1150,127.9664,-1462.7348,0.8311,0.8252
-1645.8792,27.7560,-10.0683,143.4244,-1806.9914,0.9978,0.9969
-1770.1115,25.8363,-10.1315,145.5036,-1931.3200,0.9967,0.9957
-1832.5033,24.5734,-10.2317,138.5408,-1985.3858,0.9982,0.9978
-1868.9761,24.2110,-10.2330,130.3245,-2013.2785,0.9941,0.9927
-1882.0650,22.6545,-10.1367,134.9221,-2029.5048,0.9959,0.9946
-1879.6679,20.9540,-10.2432,149.4059,-2039.7847,0.9944,0.9931
-1887.6978,20.7645,-10.2668,148.5379,-2046.7335,0.9820,0.9801
-1903.5952,20.8353,-10.2496,137.4684,-2051.6492,0.9988,0.9983
-1909.9278,20.8964,-10.1586,134.5921,-2055.2577,0.8185,0.8176
-1898.7937,19.8488,-10.2188,149.5589,-2057.9826,0.9973,0.9964
-1899.1356,19.8153,-10.2823,151.4342,-2060.1028,0.9961,0.9948
-1906.7990,19.8108,-10.2665,145.4394,-2061.7826,0.9979,0.9970
