total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
372063.7988,46.4956,-10.0433,371695.7508,331.5957,0.5913,0.5864
39240.2653,46.5034,-10.3541,38872.5204,331.5957,0.5547,0.5518
15231.0271,46.5013,-10.3444,14863.2746,331.5957,0.1872,0.1816
9242.5472,46.5016,-10.3212,8874.7711,331.5957,0.9373,0.9385
9053.7756,46.5003,-10.2879,8685.9676,331.5957,0.1235,0.1145
9062.8193,46.4961,-10.0333,8694.7608,331.5957,0.9390,0.9403
8938.9411,46.4840,-10.0046,8570.8661,331.5957,0.1237,0.1149
8833.8506,46.4766,-9.9159,8465.6941,331.5957,0.9483,0.9491
8639.8592,46.4681,-9.9778,8271.7733,331.5957,0.1358,0.1217
8486.2576,46.4706,-9.9077,8118.0990,331.5957,0.9544,0.9531
8425.1678,46.4677,-9.7802,8056.8846,331.5957,0.1556,0.1340
8243.3633,46.4603,-9.7652,7875.0725,331.5957,0.9592,0.9569
7963.0605,46.4550,-9.7362,7594.7460,331.5957,0.2027,0.1657
7678.9723,46.4479,-9.6697,7310.5984,331.5957,0.9657,0.9594
7401.6656,46.4491,-9.7230,7033.3438,331.5957,0.2715,0.2116
7033.7508,41.5461,-9.7830,6822.5747,179.4129,0.9699,0.9609
6612.9943,38.5335,-9.8255,6643.0531,-58.7669,0.3323,0.2507
6377.9156,36.1245,-9.8696,6492.8359,-141.1752,0.9731,0.9620
6171.4288,34.5287,-9.8868,6322.6698,-175.8828,0.3909,0.2937
6023.6589,31.6057,-9.9214,6190.4821,-188.5075,0.9756,0.9634
6982.1477,31.7412,-9.6253,7153.7084,-193.6767,0.3953,0.3365
6184.0869,24.9439,-9.7797,6365.1877,-196.2649,0.9772,0.9605
5743.8845,22.9843,-9.9849,5929.4459,-198.5609,0.4908,0.3816
5584.1665,21.6983,-10.0211,5772.6605,-200.1713,0.9810,0.9641
5419.8461,20.7797,-10.0533,5610.4608,-201.3410,0.5357,0.4146
5328.2603,20.0634,-10.0733,5520.4937,-202.2235,0.9828,0.9633
5176.5948,19.5549,-10.0630,5370.0085,-202.9056,0.5753,0.4462
5079.8102,19.1323,-10.0891,5274.2042,-203.4373,0.9843,0.9664
4958.7635,18.7908,-10.0881,5153.9247,-203.8638,0.6120,0.4706
4879.9717,18.5200,-10.0657,5075.7281,-204.2106,0.9855,0.9655
