total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
632687.0977,46.3608,-993.1861,633600.7651,33.1579,0.5042,0.5036
394480.1909,46.3696,-987.7565,395388.4199,33.1579,0.5120,0.5094
156946.2372,46.3671,-918.6851,157785.3973,33.1579,0.6185,0.6108
8829.9067,46.0493,-962.3875,9713.0870,33.1579,0.7842,0.7779
3167.7198,45.9278,-1036.1633,4124.7975,33.1579,0.8302,0.8226
1688.1936,45.9256,-1036.1627,2645.2728,33.1579,0.8776,0.8721
528.7362,45.9293,-1036.1542,1485.8031,33.1579,0.9116,0.9095
-262.1439,45.9264,-1036.0911,694.8629,33.1579,0.9543,0.9505
-745.5406,45.9271,-1035.7130,211.0874,33.1579,0.9771,0.9765
-820.3649,45.9255,-1034.3914,134.9431,33.1579,0.9920,0.9903
-849.7909,45.9222,-1029.4369,100.5660,33.1579,0.9809,0.9791
-818.9999,45.9258,-993.9524,95.8688,33.1579,0.9928,0.9918
-790.4624,46.2819,-960.5560,90.6538,33.1579,0.9927,0.9917
-757.4957,46.3681,-923.8687,86.8469,33.1579,0.9791,0.9773
-436.6030,46.2896,-599.7795,83.7290,33.1579,0.9938,0.9927
-903.7882,22.8406,-1030.1407,81.6264,21.8856,0.9936,0.9926
-945.3104,15.0809,-1036.1589,78.4652,-2.6977,0.9803,0.9782
-955.9550,15.0722,-1036.1456,76.3499,-11.2315,0.9943,0.9930
-962.5246,15.1087,-1036.1598,74.4036,-15.8771,0.9943,0.9930
-967.0856,15.0581,-1036.1600,71.9111,-17.8950,0.9819,0.9789
-969.5518,15.0509,-1036.1624,70.4196,-18.8599,0.9949,0.9935
-972.0418,15.0286,-1036.1562,68.4583,-19.3725,0.9949,0.9935
-974.5922,15.0147,-1036.1534,66.2150,-19.6685,0.9829,0.9787
-975.7348,15.0197,-1036.1624,65.2588,-19.8509,0.9954,0.9939
-977.2884,15.0171,-1036.1596,63.8230,-19.9689,0.9952,0.9938
-979.0715,15.0174,-1036.1623,62.1214,-20.0480,0.9838,0.9796
-979.9748,15.0172,-1036.1607,61.2711,-20.1024,0.9957,0.9947
-981.0484,15.0154,-1036.1559,60.2326,-20.1405,0.9956,0.9947
-981.8288,15.0127,-1036.1539,59.4802,-20.1677,0.9840,0.9796
-982.4078,15.0064,-1036.1618,58.9350,-20.1874,0.9958,0.9948
