total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
105183.2725,46.0504,-9177.3968,81156.7173,33157.9016,0.4918,0.4939
45744.6474,46.0562,-8403.8635,20944.5535,33157.9011,0.5015,0.5010
23599.8229,46.0959,-10360.2969,756.1228,33157.9012,0.0638,0.0668
23315.5297,46.0929,-10197.3295,308.8651,33157.9013,0.8633,0.8581
24542.0610,46.0873,-8781.1491,119.2216,33157.9012,0.2928,0.2714
24698.0166,46.0845,-8565.5275,59.5584,33157.9012,0.0261,0.0276
25583.2858,46.0959,-7672.6977,51.9859,33157.9017,0.0198,0.0228
28439.2584,46.0935,-4818.7214,53.9850,33157.9012,0.9969,0.9972
29296.0950,46.0904,-3962.1952,54.2985,33157.9013,0.8446,0.8483
29054.7243,46.0856,-4203.6662,54.4032,33157.9017,0.9786,0.9806
28533.5230,46.0894,-4721.9835,51.5154,33157.9017,0.0470,0.0501
27955.7043,46.0910,-5299.0188,50.7306,33157.9015,0.0178,0.0164
28652.6639,46.0876,-4604.5057,53.1805,33157.9014,0.9972,0.9973
28579.6390,46.0907,-4677.8750,53.5218,33157.9015,0.8560,0.8469
28027.8157,46.0892,-5229.8997,53.7249,33157.9013,0.9792,0.9750
8109.2607,22.5525,-10151.6816,51.7806,18186.6093,0.0433,0.0475
-16343.6090,14.9412,-10361.6328,50.9931,-6047.9105,0.0118,0.0130
-24958.5458,14.8978,-10361.6328,53.7273,-14665.5381,0.9973,0.9981
-28375.2218,14.9023,-10361.6328,54.0003,-18082.4916,0.8500,0.8547
-29610.8058,14.9069,-10361.6328,54.3725,-19318.4525,0.9811,0.9853
-30152.0561,14.9111,-10361.6328,51.6145,-19856.9489,0.0432,0.0473
-30430.9406,14.9138,-10361.6328,50.9906,-20135.2123,0.0125,0.0138
-30590.3594,14.9128,-10361.6328,53.7112,-20297.3506,0.9973,0.9981
-30692.8792,14.9166,-10361.6328,54.0312,-20400.1942,0.8522,0.8567
-30761.9822,14.9145,-10361.6328,54.3571,-20469.6210,0.9810,0.9853
-30813.7658,14.9181,-10361.6328,51.7149,-20518.7660,0.0429,0.0470
-30850.6756,14.9190,-10361.6328,50.9116,-20554.8734,0.0125,0.0139
-30875.3858,14.9159,-10361.6328,53.5393,-20582.2082,0.9974,0.9982
-30895.9637,14.9208,-10361.6329,54.1660,-20603.4177,0.8525,0.8571
-30912.4519,14.9175,-10361.6328,54.4790,-20620.2156,0.9826,0.9866
