total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
3675.8613,46.1551,-9.4975,3307.6308,331.5729,0.8700,0.8680
446.2340,46.1600,-7.3533,75.8544,331.5729,0.2790,0.2807
438.3428,46.3488,-6.8421,67.2631,331.5729,0.7382,0.7262
433.2966,46.3659,-6.4231,61.7810,331.5729,0.9947,0.9950
431.7527,46.3648,-7.5263,61.3413,331.5729,0.2676,0.2694
436.4910,46.3608,-7.3596,65.9169,331.5729,0.9834,0.9829
436.5000,46.3526,-7.9000,66.4745,331.5729,0.9571,0.9498
434.1542,46.3543,-7.7847,64.0117,331.5729,0.9919,0.9918
431.6482,46.3547,-7.9018,61.6224,331.5729,0.3622,0.3335
429.4726,46.3564,-7.8520,59.3953,331.5729,0.9381,0.9199
434.6320,46.3501,-7.9777,64.6867,331.5729,0.5991,0.5455
433.2037,46.3516,-7.7164,62.9955,331.5729,0.1276,0.1157
430.7231,46.3480,-7.6183,60.4205,331.5729,0.9982,0.9978
427.8025,46.3488,-6.8841,56.7649,331.5729,0.3016,0.3021
433.6882,46.3423,-6.8805,62.6536,331.5729,0.9899,0.9876
275.6207,41.7431,-9.5098,62.4554,180.9321,0.9649,0.9488
28.4347,38.2413,-10.1022,58.4161,-58.1205,0.9957,0.9937
-57.3617,35.6750,-9.8816,57.9765,-141.1315,0.5275,0.4535
-96.7821,33.7727,-9.9522,55.8526,-176.4553,0.9339,0.9058
-106.3790,31.3427,-10.0592,61.6936,-189.3561,0.5909,0.5383
-116.5012,28.1039,-10.0245,60.0257,-194.6063,0.2002,0.1791
-121.7869,25.2775,-9.8381,60.1630,-197.3893,0.9977,0.9971
-131.9670,17.5884,-10.2128,60.8103,-200.1529,0.2373,0.2431
-132.3964,14.9837,-10.3565,66.1151,-203.1387,0.9932,0.9949
-132.0085,14.9148,-10.3578,67.8590,-204.4244,0.9707,0.9748
-135.6372,14.8959,-10.3559,64.9131,-205.0903,0.9963,0.9974
-137.1672,14.8812,-10.3545,63.8062,-205.5000,0.1203,0.1266
-139.8006,14.8774,-10.3521,61.4510,-205.7769,0.9503,0.9541
-133.7051,14.8802,-10.3511,67.7413,-205.9754,0.2720,0.2852
-135.3784,14.8812,-10.3521,66.2163,-206.1239,0.0250,0.0280
