total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
50013.7439,46.3415,-87.3208,46738.7724,3315.9507,0.4714,0.4720
5984.0571,46.2284,-91.6762,2713.5542,3315.9507,0.3240,0.3445
3603.2609,46.1700,-101.4970,342.6372,3315.9508,0.5026,0.5189
3412.3432,46.1722,-78.3940,128.6142,3315.9507,0.8773,0.8843
3340.7952,46.1788,-75.4767,54.1423,3315.9507,0.9431,0.9433
3319.7649,46.3526,-67.0605,24.5221,3315.9507,0.9702,0.9671
3329.7582,46.3458,-49.9399,17.4016,3315.9508,0.9966,0.9964
3336.3958,46.3460,-43.0333,17.1324,3315.9507,0.9798,0.9783
3286.3495,46.1791,-92.5434,16.7631,3315.9507,0.9883,0.9882
3297.9621,46.1761,-80.1631,15.9983,3315.9507,0.9987,0.9989
3315.8307,46.1752,-62.4162,16.1210,3315.9507,0.9883,0.9884
3323.8640,46.1712,-54.0448,15.7868,3315.9508,0.9922,0.9925
3325.2892,46.1737,-52.4084,15.5732,3315.9507,0.9991,0.9992
3324.1957,46.1806,-53.7899,15.8543,3315.9507,0.9900,0.9899
3326.7314,46.1778,-50.8954,15.4984,3315.9507,0.9930,0.9928
1763.6396,22.9902,-102.6441,15.4997,1827.7937,0.9992,0.9995
-673.0098,14.9484,-103.6163,15.8696,-600.2114,0.9907,0.9911
-1534.3091,14.8985,-103.6163,15.6504,-1461.2417,0.9934,0.9940
-1879.6850,14.9006,-103.6163,15.4907,-1806.4599,0.9993,0.9995
-2003.8119,14.9066,-103.6162,15.8952,-1930.9975,0.9908,0.9912
-2058.2675,14.9106,-103.6153,15.5836,-1985.1464,0.9936,0.9941
-2086.3107,14.9131,-103.6148,15.4894,-2013.0984,0.9993,0.9995
-2102.2723,14.9130,-103.6147,15.8044,-2029.3750,0.9910,0.9914
-2112.7983,14.9170,-103.6145,15.5941,-2039.6948,0.9936,0.9941
-2119.8995,14.9176,-103.6146,15.4566,-2046.6592,0.9992,0.9995
-2124.4571,14.9172,-103.6147,15.8283,-2051.5879,0.9909,0.9914
-2128.2347,14.9165,-103.6149,15.6723,-2055.2085,0.9935,0.9941
-2131.1730,14.9175,-103.6150,15.4734,-2057.9489,0.9992,0.9995
-2132.9183,14.9190,-103.6147,15.8524,-2060.0750,0.9910,0.9915
-2134.8615,14.9178,-103.6150,15.5942,-2061.7586,0.9935,0.9941
