total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
4832409.4016,46.2824,-9.8861,4799214.7100,33158.2953,0.4528,0.4557
359424.9182,46.2896,-10.3224,326230.6554,33158.2957,0.1211,0.1302
89983.5410,46.2698,-9.9127,56788.8886,33158.2953,0.3339,0.3340
58208.4890,46.2544,-10.3616,25014.3011,33158.2951,0.6642,0.6537
46943.6159,46.2524,-10.3616,13749.4296,33158.2955,0.9293,0.9280
45728.1837,46.2542,-10.3616,12533.9951,33158.2959,0.9464,0.9444
43298.4882,46.2477,-10.3616,10104.3066,33158.2955,0.1735,0.1696
45064.1155,46.2559,-10.3616,11869.9261,33158.2952,0.2099,0.2098
43472.5849,46.2519,-10.3616,10278.3992,33158.2954,0.9913,0.9917
43661.9359,46.2495,-10.3616,10467.7530,33158.2950,0.2726,0.2735
45241.5163,46.2529,-10.3616,12047.3293,33158.2958,0.7839,0.7739
43272.6492,46.2519,-10.3616,10078.4634,33158.2955,0.9992,0.9992
45156.9558,46.2545,-10.3616,11962.7674,33158.2955,0.9847,0.9848
43212.4232,46.2553,-10.3616,10018.2345,33158.2950,0.1916,0.1876
45024.7840,46.2555,-10.3615,11830.5945,33158.2955,0.2191,0.2196
28796.1545,22.7174,-10.3615,10224.6700,18559.1285,0.9935,0.9936
4528.2382,14.9411,-10.3615,10492.7852,-5969.1266,0.2794,0.2807
-2642.5059,14.8979,-10.3615,12064.1914,-14711.2338,0.7935,0.7845
-8042.0950,14.9031,-10.3614,10080.3271,-18126.9639,0.9993,0.9993
-7360.7977,14.9070,-10.3614,11980.5218,-19345.8651,0.9858,0.9858
-9880.1096,14.9103,-10.3614,9989.7851,-19874.4435,0.1941,0.1892
-8306.9754,14.9144,-10.3614,11835.6223,-20147.1507,0.2202,0.2203
-10048.3415,14.9147,-10.3614,10253.0702,-20305.9650,0.9940,0.9941
-9909.7042,14.9158,-10.3613,10492.4264,-20406.6852,0.2792,0.2807
-8425.8752,14.9165,-10.3613,12044.2490,-20474.6794,0.7989,0.7905
-10444.3852,14.9167,-10.3613,10073.8737,-20522.8143,0.9994,0.9993
-8597.9336,14.9167,-10.3612,11955.6945,-20558.1836,0.9869,0.9868
-10587.0030,14.9203,-10.3612,9993.4003,-20584.9624,0.1952,0.1901
-8776.0366,14.9180,-10.3612,11825.1498,-20605.7432,0.2206,0.2223
-10351.4679,14.9180,-10.3611,10266.1790,-20622.2039,0.9940,0.9941
