total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
6339268.0038,46.3650,-100.9304,6336006.7794,3315.7898,0.5042,0.5036
3957140.0902,46.3712,-103.5180,3953881.4472,3315.7898,0.5120,0.5094
1581093.2173,46.3718,-103.4814,1577834.5372,3315.7898,0.6185,0.6108
100185.2926,46.3665,-101.7536,96924.8900,3315.7898,0.7879,0.7825
42185.6055,46.2239,-91.5556,38915.1473,3315.7898,0.8385,0.8358
26555.2814,46.2175,-92.1813,23285.4554,3315.7898,0.8892,0.8879
16164.6028,46.2167,-91.3362,12893.9326,3315.7898,0.9383,0.9360
8777.3541,46.1964,-90.1412,5505.5090,3315.7897,0.9615,0.9585
4986.2343,46.1593,-88.3525,1712.6377,3315.7898,0.9874,0.9844
4510.4305,46.0699,-96.6625,1245.2333,3315.7898,0.9736,0.9704
4296.0775,46.0591,-96.8909,1031.1195,3315.7898,0.9796,0.9754
4064.0424,46.0557,-96.1848,798.3817,3315.7898,0.9927,0.9900
3988.2418,46.0648,-95.4525,721.8397,3315.7898,0.9932,0.9910
3958.5768,46.0630,-94.5161,691.2401,3315.7898,0.9936,0.9917
3928.9843,46.0626,-92.8238,659.9556,3315.7898,0.9939,0.9917
2383.0415,39.6705,-101.3022,636.5965,1808.0768,0.9941,0.9919
-53.7123,37.2266,-103.4968,612.6099,-600.0519,0.9943,0.9923
-936.3664,37.7428,-103.5024,588.9203,-1459.5271,0.9945,0.9928
-1302.4621,38.6784,-103.5255,569.3234,-1806.9384,0.9947,0.9929
-1445.6684,39.1243,-103.5270,550.6105,-1931.8761,0.9949,0.9930
-1516.7482,39.3124,-103.5172,533.3221,-1985.8655,0.9950,0.9935
-1553.8951,40.0044,-102.6211,522.3468,-2013.6251,0.9948,0.9932
-1562.8875,38.6907,-101.4800,529.6338,-2029.7319,0.9950,0.9936
-1601.8863,36.0045,-102.4516,504.5131,-2039.9521,0.9953,0.9939
-1625.4007,36.0669,-102.4224,487.8082,-2046.8533,0.9954,0.9939
-1642.8402,38.1908,-102.2683,472.9600,-2051.7226,0.9956,0.9941
-1666.9088,34.3941,-102.7823,456.7816,-2055.3022,0.9957,0.9942
-1680.9962,34.9978,-102.6657,444.6843,-2058.0126,0.9959,0.9940
-1695.5188,35.4600,-102.6914,431.8198,-2060.1072,0.9959,0.9944
-1707.9829,34.1214,-102.9335,422.5929,-2061.7638,0.9960,0.9946
