total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
284140.3748,46.5575,-9.6577,283771.9005,331.5746,0.5246,0.5247
61433.8190,46.4871,-9.4521,61065.2094,331.5746,0.7899,0.7846
4066.8221,46.1368,-10.3616,3699.4723,331.5746,0.8555,0.8451
2537.0363,46.1357,-10.3613,2169.6873,331.5746,0.8961,0.8833
1428.8489,46.1325,-10.3598,1061.5016,331.5746,0.9564,0.9560
680.2831,46.1343,-10.3282,312.9025,331.5746,0.9870,0.9846
470.5137,46.1348,-9.5837,102.3881,331.5746,0.9791,0.9768
464.1024,46.2652,-7.3282,93.5908,331.5746,0.9834,0.9806
460.4198,46.2876,-6.2190,88.7767,331.5746,0.9928,0.9911
457.1047,46.2825,-5.5498,84.7974,331.5746,0.9828,0.9812
453.2291,46.2865,-5.1304,80.4984,331.5746,0.9865,0.9837
449.4390,46.2878,-5.5641,77.1408,331.5746,0.9941,0.9929
447.6837,46.2865,-4.4941,74.3167,331.5746,0.9839,0.9821
443.7274,46.2896,-5.5042,71.3674,331.5745,0.9895,0.9873
441.3018,46.2857,-4.4313,67.8728,331.5746,0.9950,0.9938
268.8932,24.4033,-9.7805,70.5017,183.7687,0.9858,0.9833
17.0204,15.1747,-10.3539,70.1794,-57.9797,0.9895,0.9880
-71.7635,15.1222,-10.3412,67.9867,-144.5312,0.9951,0.9941
-107.8692,15.0518,-10.3387,67.1419,-179.7243,0.9869,0.9848
-122.8950,15.0136,-10.3440,64.9368,-192.5014,0.9904,0.9896
-130.1496,14.9910,-10.3475,63.2667,-198.0598,0.9955,0.9947
-133.5288,14.9627,-10.3506,62.7864,-200.9273,0.9881,0.9858
-136.3582,14.9146,-10.3545,61.6770,-202.5953,0.9913,0.9901
-139.0653,14.9143,-10.3556,60.0275,-203.6515,0.9958,0.9950
-139.7476,14.9146,-10.3561,60.0572,-204.3632,0.9892,0.9876
-141.5887,14.9138,-10.3563,58.7198,-204.8660,0.9917,0.9909
-142.7805,14.9142,-10.3567,57.8965,-205.2345,0.9960,0.9953
-143.2665,14.9152,-10.3570,57.6879,-205.5126,0.9894,0.9881
-144.6190,14.9148,-10.3572,56.5509,-205.7276,0.9920,0.9911
-145.7283,14.9162,-10.3574,55.6099,-205.8971,0.9962,0.9956
