total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
7795.1386,46.1147,-44.0766,4477.2169,3315.8837,0.4552,0.4573
3541.0135,46.2907,-46.5767,225.4158,3315.8837,0.0903,0.0962
3363.3491,46.4295,-37.4468,38.4828,3315.8837,0.1189,0.1126
3349.1187,46.4048,-32.7894,19.6196,3315.8837,0.1116,0.1016
3336.4229,46.3794,-32.8896,7.0494,3315.8836,0.8495,0.8412
3337.6765,46.3717,-29.3507,4.7719,3315.8836,0.8438,0.8355
3337.5061,46.3577,-29.3731,4.6379,3315.8837,0.8506,0.8386
3337.5605,46.3524,-29.2149,4.5393,3315.8837,0.8477,0.8349
3337.6245,46.3443,-29.0788,4.4755,3315.8836,0.8464,0.8340
3336.0857,46.3405,-30.5767,4.4383,3315.8837,0.8444,0.8299
3336.1598,46.3369,-30.4431,4.3824,3315.8837,0.8427,0.8291
3335.2087,46.3327,-31.3349,4.3273,3315.8837,0.8432,0.8272
3333.2216,46.3303,-33.2973,4.3050,3315.8836,0.8421,0.8255
3333.5868,46.3309,-32.8779,4.2501,3315.8837,0.8461,0.8277
3331.6546,46.3299,-34.7669,4.2080,3315.8836,0.8390,0.8195
1704.6946,22.2936,-101.9339,4.5223,1779.8127,0.8204,0.8254
-687.4243,14.9419,-103.6163,4.5199,-603.2698,0.8186,0.8235
-1535.6399,14.8972,-103.6163,4.5080,-1451.4288,0.8188,0.8235
-1885.4633,14.9033,-103.6163,4.5021,-1801.2524,0.8181,0.8226
-2012.9469,14.9062,-103.6163,4.4992,-1928.7360,0.8176,0.8221
-2068.2147,14.9125,-103.6163,4.4962,-1984.0070,0.8161,0.8208
-2096.6432,14.9138,-103.6157,4.4927,-2012.4340,0.8156,0.8201
-2113.1583,14.9121,-103.6151,4.4892,-2028.9446,0.8165,0.8210
-2123.6129,14.9182,-103.6144,4.4776,-2039.3942,0.8158,0.8203
-2130.6587,14.9151,-103.6143,4.4781,-2046.4376,0.8128,0.8176
-2135.6376,14.9160,-103.6141,4.4783,-2051.4178,0.8168,0.8211
-2139.2850,14.9171,-103.6137,4.4853,-2055.0737,0.8136,0.8182
-2142.0613,14.9176,-103.6142,4.4749,-2057.8396,0.8139,0.8185
-2144.2154,14.9179,-103.6140,4.4652,-2059.9844,0.8132,0.8178
-2145.9085,14.9203,-103.6141,4.4678,-2061.6825,0.8140,0.8182
