total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
864397.8529,46.5477,-97.2767,831289.1458,33159.4360,0.4764,0.4761
261720.4439,46.5030,-93.3348,228607.8398,33159.4359,0.4999,0.4996
50037.4624,46.1198,-103.6163,16935.5229,33159.4361,0.1989,0.2106
44274.2313,46.1239,-103.6163,11172.2880,33159.4357,0.1889,0.1981
39519.3752,46.1215,-103.6143,6417.4319,33159.4361,0.2831,0.2884
35944.7399,46.1250,-103.6009,2842.7799,33159.4359,0.3171,0.3127
34065.3520,46.1210,-103.4589,963.2539,33159.4360,0.5625,0.5527
33702.4113,46.1224,-102.8180,599.6706,33159.4363,0.1340,0.1370
33672.3611,46.1200,-103.0653,569.8705,33159.4360,0.9367,0.9348
33643.7598,46.1219,-103.3084,541.5104,33159.4359,0.6789,0.6723
33657.8474,46.1274,-102.9540,555.2379,33159.4360,0.1109,0.1108
33635.4846,46.1342,-100.9819,530.8966,33159.4357,0.9536,0.9501
33615.2859,46.1357,-93.5414,503.2559,33159.4359,0.7235,0.7091
33635.7739,46.1376,-89.7498,519.9504,33159.4358,0.0935,0.0897
33624.0567,46.1478,-77.4121,495.8850,33159.4359,0.9512,0.9472
18860.4684,26.7449,-101.6236,482.2622,18453.0850,0.7591,0.7441
-5577.1327,19.9539,-103.6033,500.8452,-5994.3286,0.0885,0.0831
-14272.2892,19.8624,-103.5982,484.0289,-14672.5823,0.9796,0.9743
-17722.8596,19.9313,-103.5977,464.7918,-18103.9849,0.7905,0.7752
-18927.8074,19.9687,-103.5965,489.7398,-19333.9193,0.0831,0.0757
-19479.8474,19.9804,-103.5945,471.2852,-19867.5185,0.9856,0.9813
-19771.3813,19.9746,-103.5882,454.9211,-20142.6888,0.8141,0.7994
-19905.2682,19.9772,-103.5875,481.2013,-20302.8592,0.0815,0.0727
-20021.8263,19.9815,-103.5883,466.1796,-20404.3991,0.9887,0.9847
-20107.6251,19.9845,-103.5809,448.8973,-20472.9259,0.8290,0.8190
-20128.5184,19.9873,-103.5854,476.5058,-20521.4261,0.0819,0.0718
-20179.5001,20.1256,-103.4517,460.8836,-20557.0575,0.9714,0.9670
-20211.7605,16.6357,-103.4924,459.1040,-20584.0078,0.8312,0.8248
-20208.3754,14.8752,-103.6162,485.3014,-20604.9357,0.0257,0.0259
-20239.2389,14.8790,-103.6162,471.0176,-20621.5193,0.9921,0.9900
