total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
75763.2583,46.5247,-7744.0558,83129.1951,331.5944,0.4764,0.4761
16520.8684,46.4947,-6717.2462,22860.0255,331.5944,0.4999,0.4996
-8272.6716,46.1178,-10291.5415,1641.1578,331.5944,0.2337,0.2464
-6371.9908,46.1218,-7919.8308,1170.1239,331.5944,0.1843,0.1946
-6161.1241,46.1261,-7295.0607,756.2161,331.5944,0.2211,0.2304
-6048.0433,46.1503,-6830.9985,405.2105,331.5944,0.3580,0.3582
-6327.1615,46.1777,-6908.6301,203.6965,331.5944,0.4024,0.3993
-7293.6759,46.1917,-7770.7262,99.2643,331.5944,0.7071,0.6876
-6036.9048,46.1863,-6461.8496,47.1641,331.5944,0.9563,0.9537
-5559.3239,46.1893,-5979.5149,42.4074,331.5944,0.1372,0.1415
-6656.6289,46.1928,-7076.9953,42.5792,331.5944,0.8063,0.7910
-5700.4952,46.1919,-6119.5204,41.2389,331.5944,0.9733,0.9680
-4788.0896,46.1903,-5203.1281,37.2539,331.5944,0.1281,0.1302
-4426.5277,46.1905,-4842.4227,38.1102,331.5944,0.8681,0.8420
-4805.6357,46.1943,-5220.4359,37.0116,331.5944,0.9839,0.9790
-9952.2277,22.4989,-10196.4238,36.5066,185.1905,0.0486,0.0541
-10364.7241,14.9441,-10361.6327,38.2329,-56.2684,0.8974,0.8996
-10452.7543,14.8984,-10361.6328,37.3711,-143.3910,0.9928,0.9925
-10491.6228,14.9044,-10361.6329,34.3173,-179.2116,0.0351,0.0391
-10502.5043,14.9072,-10361.6328,36.4816,-192.2603,0.9436,0.9462
-10508.3857,14.9141,-10361.6328,36.2627,-197.9297,0.9977,0.9971
-10514.1789,14.9112,-10361.6328,33.3906,-200.8478,0.0307,0.0352
-10513.4571,14.9131,-10361.6328,35.8050,-202.5424,0.9689,0.9720
-10514.5776,14.9156,-10361.6328,35.7535,-203.6139,0.9987,0.9990
-10517.8340,14.9145,-10361.6327,33.2194,-204.3351,0.0333,0.0373
-10515.9000,14.9141,-10361.6328,35.6630,-204.8443,0.9717,0.9765
-10516.1159,14.9158,-10361.6328,35.8183,-205.2173,0.9986,0.9990
-10519.0775,14.9167,-10361.6328,33.1372,-205.4986,0.0341,0.0390
-10516.7577,14.9163,-10361.6328,35.6748,-205.7160,0.9710,0.9761
-10516.9125,14.9152,-10361.6328,35.6924,-205.8874,0.9987,0.9991
