total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
3938.1221,46.4308,-8.5739,584.4784,3315.7867,0.7488,0.7317
3439.6991,46.4187,-5.7331,83.2267,3315.7867,0.0429,0.0422
3401.5303,46.4329,-9.4798,48.7905,3315.7867,0.9555,0.9559
3395.2288,46.4341,-8.4999,41.5079,3315.7867,0.9870,0.9868
3398.0121,46.4385,-9.0327,44.8196,3315.7867,0.1128,0.1152
3397.9655,46.4435,-9.1215,44.8568,3315.7867,0.9840,0.9854
3396.2087,46.4353,-6.5485,40.5353,3315.7867,0.9956,0.9959
3400.7947,46.4321,-5.5168,44.0927,3315.7867,0.0869,0.0838
3401.6413,46.4306,-4.9119,44.3359,3315.7867,0.9873,0.9879
3398.2245,46.4306,-4.0208,40.0280,3315.7867,0.9963,0.9963
3402.0547,46.4336,-4.1157,43.9501,3315.7867,0.0690,0.0708
3402.8307,46.4300,-3.8242,44.4382,3315.7867,0.9878,0.9882
3398.7796,46.4265,-3.5955,40.1619,3315.7867,0.9960,0.9967
3400.5287,46.4324,-5.2705,43.5800,3315.7867,0.1644,0.1412
3401.7453,46.4274,-4.4143,43.9455,3315.7867,0.9873,0.9855
1868.1995,22.4130,-10.0327,40.3996,1815.4196,0.9962,0.9973
-546.9762,14.9394,-10.3604,44.1780,-595.7332,0.0747,0.0774
-1411.0097,14.8981,-10.3600,44.4350,-1459.9828,0.9878,0.9912
-1762.5090,14.9046,-10.3593,40.4399,-1807.4943,0.9956,0.9969
-1883.6387,14.9096,-10.3585,44.0016,-1932.1914,0.0767,0.0791
-1936.9405,14.9128,-10.3581,44.5747,-1986.0699,0.9881,0.9914
-1968.9921,14.9119,-10.3579,40.2392,-2013.7854,0.9963,0.9973
-1981.2590,14.9131,-10.3579,44.0803,-2029.8945,0.0732,0.0753
-1991.1039,14.9161,-10.3581,44.4356,-2040.0975,0.9892,0.9922
-2002.0910,14.9152,-10.3580,40.3307,-2046.9789,0.9958,0.9971
-2003.1161,14.9162,-10.3580,44.1729,-2051.8471,0.0741,0.0761
-2006.3642,14.9196,-10.3582,44.4966,-2055.4223,0.9889,0.9921
-2013.2442,14.9195,-10.3582,40.3225,-2058.1280,0.9960,0.9972
-2011.6407,14.9184,-10.3582,44.0261,-2060.2270,0.0750,0.0775
-2012.8601,14.9198,-10.3581,44.4672,-2061.8891,0.9872,0.9906
