total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
79857.5682,46.3406,-87.0543,46738.7741,33159.5078,0.4714,0.4720
35827.6712,46.2255,-91.6265,2713.5643,33159.5079,0.3240,0.3443
33448.1697,46.1709,-101.5611,344.0523,33159.5076,0.5694,0.5858
33248.8071,46.1726,-80.5642,123.6908,33159.5079,0.8714,0.8777
33161.6410,46.1707,-79.1142,35.0767,33159.5078,0.9729,0.9699
33181.5354,46.2640,-41.1199,16.8837,33159.5076,0.9938,0.9931
33177.7240,46.3447,-43.1839,15.0553,33159.5079,0.9789,0.9762
33173.1860,46.3450,-46.8659,14.1992,33159.5077,0.9865,0.9850
33184.6049,46.3459,-34.9300,13.6813,33159.5077,0.9982,0.9980
33188.9154,46.3298,-30.5345,13.6124,33159.5078,0.9882,0.9870
33181.4001,46.3219,-37.5187,13.0891,33159.5078,0.9921,0.9915
33183.7770,46.3107,-34.7732,12.7316,33159.5079,0.9990,0.9989
33178.6041,46.3057,-39.9287,12.7193,33159.5078,0.9915,0.9906
33173.3652,46.3102,-44.8920,12.4392,33159.5078,0.9933,0.9929
33173.3061,46.3080,-44.5907,12.0811,33159.5078,0.9991,0.9991
18301.5966,22.5127,-101.5530,13.3421,18367.2948,0.9896,0.9892
-6083.5132,14.9393,-103.6156,13.1536,-6007.9905,0.9920,0.9921
-14756.8168,14.8970,-103.6144,13.0479,-14681.1473,0.9989,0.9991
-18178.7983,14.9009,-103.6143,13.3743,-18103.4592,0.9898,0.9897
-19407.5695,14.9063,-103.6144,13.1672,-19332.0287,0.9921,0.9924
-19941.3670,14.9103,-103.6146,13.0653,-19865.7282,0.9989,0.9991
-20216.5444,14.9128,-103.6148,13.3917,-20141.2341,0.9899,0.9899
-20377.2231,14.9137,-103.6150,13.1842,-20301.7060,0.9922,0.9925
-20479.0968,14.9174,-103.6149,13.0806,-20403.4799,0.9989,0.9991
-20547.5491,14.9186,-103.6150,13.3303,-20472.1831,0.9899,0.9899
-20596.3879,14.9175,-103.6151,13.1270,-20520.8173,0.9923,0.9926
-20632.2393,14.9180,-103.6152,13.0087,-20556.5508,0.9989,0.9991
-20659.0312,14.9174,-103.6150,13.2708,-20583.6044,0.9900,0.9900
-20680.1277,14.9191,-103.6150,13.1644,-20604.5963,0.9924,0.9926
-20696.8416,14.9178,-103.6149,13.0787,-20621.2232,0.9989,0.9992
