total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
7763.9799,46.3654,-5.3892,7689.8456,33.1581,0.5047,0.5028
5382.7234,46.3493,-5.0893,5308.3054,33.1581,0.5109,0.5079
3002.7907,46.3483,-4.2573,2927.5417,33.1581,0.5332,0.5318
749.1109,46.3678,-3.7071,673.2921,33.1581,0.8224,0.8119
118.4592,46.4516,-3.3428,42.1924,33.1581,0.8460,0.8340
109.5749,46.3678,-2.0661,32.1152,33.1581,0.8686,0.8548
101.0975,46.3730,-2.1947,23.7611,33.1581,0.8934,0.8838
93.3717,46.3729,-2.1789,16.0197,33.1581,0.9182,0.9133
86.8567,46.3742,-2.0162,9.3407,33.1581,0.9427,0.9423
82.2552,46.3759,-1.8075,4.5288,33.1581,0.9643,0.9620
80.0661,46.3665,-1.5964,2.1380,33.1581,0.9774,0.9746
79.3699,46.3720,-1.5097,1.3496,33.1581,0.9834,0.9818
79.2057,46.3720,-1.4464,1.1220,33.1581,0.9851,0.9812
79.1516,46.3749,-1.4183,1.0370,33.1581,0.9862,0.9831
79.1473,46.3768,-1.3887,1.0011,33.1581,0.9864,0.9838
34.5587,22.8580,-10.1645,1.0563,20.8089,0.9823,0.9786
2.8004,14.9961,-10.3555,1.0371,-2.8772,0.9866,0.9833
-5.4732,14.9124,-10.3573,1.0192,-11.0475,0.9855,0.9821
-10.1399,14.9028,-10.3579,1.0107,-15.6956,0.9874,0.9838
-12.2431,14.9038,-10.3581,0.9937,-17.7825,0.9837,0.9801
-13.2668,14.9045,-10.3582,0.9812,-18.7942,0.9837,0.9804
-13.8159,14.9071,-10.3583,0.9676,-19.3323,0.9849,0.9822
-14.1383,14.9063,-10.3582,0.9561,-19.6425,0.9870,0.9833
-14.3358,14.9089,-10.3581,0.9469,-19.8335,0.9887,0.9848
-14.4689,14.9098,-10.3582,0.9364,-19.9569,0.9840,0.9800
-14.5687,14.9083,-10.3581,0.9208,-20.0397,0.9876,0.9844
-14.6367,14.9078,-10.3581,0.9104,-20.0968,0.9843,0.9801
-14.6845,14.9075,-10.3580,0.9030,-20.1370,0.9905,0.9872
-14.7194,14.9066,-10.3582,0.8978,-20.1656,0.9873,0.9841
-14.7647,14.9069,-10.3581,0.8727,-20.1862,0.9885,0.9855
