total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
364069.8989,46.1516,-99.8523,330966.3090,33157.2906,0.8410,0.8383
40976.1479,46.1406,-103.5797,7876.2964,33157.2905,0.7155,0.7152
40365.6289,46.1396,-103.5796,7265.7783,33157.2905,0.9763,0.9742
40256.9266,46.1367,-103.5796,7157.0792,33157.2903,0.9680,0.9648
39635.4587,46.1387,-103.5736,6535.6035,33157.2902,0.4596,0.4621
39844.6738,46.1393,-103.5599,6744.8037,33157.2906,0.4229,0.4239
40211.3177,46.1429,-103.5590,7111.4432,33157.2906,0.9950,0.9953
40201.9356,46.1417,-103.5235,7102.0266,33157.2908,0.9951,0.9954
40230.8204,46.1402,-103.3230,7130.7128,33157.2905,0.8392,0.8314
40238.9999,46.1447,-102.3703,7137.9346,33157.2908,0.9886,0.9886
40147.4527,46.1498,-100.5550,7044.5675,33157.2904,0.9812,0.9801
39586.6820,46.2157,-95.1856,6478.3615,33157.2905,0.4632,0.4655
39727.8349,46.3294,-95.8574,6620.0722,33157.2907,0.4227,0.4251
40041.0181,46.3578,-95.7311,6933.1004,33157.2911,0.9974,0.9970
39897.8958,46.3695,-94.7408,6788.9764,33157.2906,0.9968,0.9964
24986.3192,41.4769,-94.7595,6788.4883,18251.1136,0.8889,0.8438
543.8328,39.3010,-100.1400,6647.7137,-6043.0419,0.9937,0.9892
-8193.8235,39.9254,-102.1293,6514.0107,-14645.6303,0.9886,0.9799
-12260.1468,40.9068,-102.7019,5882.7055,-18081.0572,0.4398,0.4440
-13347.1130,41.3452,-102.8294,6034.6979,-19320.3266,0.3966,0.3963
-13497.6898,41.5412,-102.9344,6422.4928,-19858.7893,0.9977,0.9957
-13822.3065,41.6283,-102.4339,6375.1666,-20136.6675,0.9974,0.9947
-14404.6774,28.6068,-101.6733,5966.7829,-20298.3936,0.9501,0.9474
-15239.9422,14.9116,-103.6109,5249.7009,-20400.9437,0.9962,0.9964
-14472.6574,14.8739,-103.6137,6086.3414,-20470.2590,0.9871,0.9870
-15488.0542,14.8762,-103.6152,5119.9921,-20519.3073,0.5054,0.5069
-15090.8289,14.8779,-103.6155,5553.2428,-20555.3341,0.4021,0.4065
-15078.8488,14.8803,-103.6156,5592.4897,-20582.6033,0.9598,0.9570
-15483.7103,14.8829,-103.6159,5208.7812,-20603.7585,0.9976,0.9975
-14652.1813,14.8833,-103.6162,6057.0639,-20620.5124,0.9898,0.9892
