total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
115561.5474,46.5274,-773.6121,83129.1961,33159.4360,0.4764,0.4761
55398.3453,46.4950,-667.5941,22860.0085,33159.4359,0.4999,0.4996
33816.4155,46.1198,-1030.2553,1641.1149,33159.4361,0.2639,0.2778
33584.6845,46.1244,-797.3838,1176.5081,33159.4357,0.1766,0.1858
33185.7373,46.1260,-770.8790,751.0542,33159.4361,0.2016,0.2099
32878.4279,46.2381,-745.7402,418.4940,33159.4359,0.2402,0.2427
32478.7231,46.1724,-912.1850,185.2997,33159.4360,0.5867,0.5748
32413.9988,46.2022,-886.4184,94.7787,33159.4363,0.6277,0.6117
32476.2327,46.2099,-815.2120,85.7988,33159.4360,0.1488,0.1514
32607.4483,46.2193,-682.8281,84.6212,33159.4359,0.7625,0.7492
32625.0996,46.2269,-660.3514,79.7882,33159.4360,0.6989,0.6709
32656.0392,46.2406,-626.4711,76.8340,33159.4357,0.1597,0.1595
32637.5127,46.2180,-648.2619,80.1208,33159.4359,0.8212,0.7961
32662.8930,46.2499,-615.1912,72.3985,33159.4358,0.7565,0.7114
32627.4214,46.2593,-648.0609,69.7870,33159.4359,0.1698,0.1579
17531.0081,22.8251,-1025.5404,80.5712,18453.1522,0.7996,0.8007
-6936.9695,14.9406,-1036.1633,78.0206,-5993.7673,0.6564,0.6604
-15615.9267,14.8962,-1036.1633,77.6257,-14672.2853,0.1445,0.1465
-19046.2297,14.9027,-1036.1633,78.8848,-18103.8540,0.8356,0.8362
-20278.9792,14.9065,-1036.1633,76.1247,-19333.8471,0.6824,0.6894
-20812.6428,14.9149,-1036.1633,76.0793,-19867.4737,0.1456,0.1453
-21085.7647,14.9108,-1036.1633,78.1467,-20142.6589,0.8613,0.8628
-21248.5537,14.9135,-1036.1633,75.5341,-20302.8380,0.7012,0.7100
-21349.8486,14.9168,-1036.1632,75.7815,-20404.3837,0.1482,0.1469
-21416.4477,14.9153,-1036.1633,77.7143,-20472.9141,0.8662,0.8693
-21467.3055,14.9152,-1036.1633,75.3598,-20521.4172,0.7062,0.7162
-21502.7655,14.9173,-1036.1632,75.5308,-20557.0505,0.1501,0.1491
-21527.6341,14.9190,-1036.1632,77.6358,-20584.0257,0.8699,0.8730
-21550.9239,14.9185,-1036.1632,75.2766,-20604.9559,0.7074,0.7168
-21567.2516,14.9185,-1036.1632,75.5259,-20621.5328,0.1496,0.1488
