total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
9112.2414,46.2886,-585.8970,6336.0600,3315.7898,0.5042,0.5036
6752.9950,46.3583,-563.1556,3954.0026,3315.7898,0.5120,0.5094
4485.1627,46.3641,-455.8247,1578.8334,3315.7898,0.6172,0.6098
2964.2844,46.0505,-495.2048,97.6490,3315.7898,0.7781,0.7711
3190.7887,46.1531,-217.4855,46.3313,3315.7898,0.7996,0.7921
3149.0019,46.1848,-250.1456,37.1729,3315.7898,0.8225,0.8178
3116.1016,46.1910,-274.1509,28.2717,3315.7898,0.8565,0.8506
3098.3509,46.1860,-283.7978,20.1730,3315.7897,0.8874,0.8827
3095.2602,46.1815,-279.8894,13.1783,3315.7898,0.9133,0.9123
3104.4326,46.1675,-264.9412,7.4165,3315.7898,0.9369,0.9351
3138.1780,46.1452,-227.1389,3.3820,3315.7898,0.9664,0.9639
3184.2778,46.1069,-179.0019,1.3830,3315.7898,0.9813,0.9809
3212.4701,46.0478,-150.1275,0.7599,3315.7898,0.9897,0.9885
3221.2881,46.0187,-141.1353,0.6149,3315.7898,0.9920,0.9897
3227.3879,46.0093,-134.9738,0.5626,3315.7898,0.9914,0.9889
809.8730,22.6377,-1022.4012,0.6158,1809.0206,0.9907,0.9887
-1618.0808,14.9407,-1036.1633,0.5909,-597.4490,0.9908,0.9884
-2479.1660,14.8961,-1036.1633,0.5705,-1458.4692,0.9901,0.9877
-2827.2015,14.9013,-1036.1633,0.5482,-1806.4877,0.9915,0.9893
-2952.3323,14.9086,-1036.1633,0.5319,-1931.6095,0.9910,0.9885
-3006.4445,14.9112,-1036.1633,0.5146,-1985.7070,0.9904,0.9877
-3034.2892,14.9131,-1036.1633,0.5001,-2013.5391,0.9919,0.9896
-3050.4818,14.9136,-1036.1633,0.4844,-2029.7165,0.9921,0.9897
-3060.7354,14.9152,-1036.1633,0.4757,-2039.9629,0.9918,0.9893
-3067.6624,14.9151,-1036.1633,0.4595,-2046.8737,0.9913,0.9888
-3072.5531,14.9171,-1036.1632,0.4555,-2051.7625,0.9891,0.9863
-3076.1597,14.9182,-1036.1629,0.4378,-2055.3529,0.9923,0.9904
-3078.8820,14.9185,-1036.1625,0.4321,-2058.0701,0.9924,0.9904
-3080.9950,14.9177,-1036.1625,0.4278,-2060.1779,0.9928,0.9909
-3082.6811,14.9200,-1036.1626,0.4085,-2061.8470,0.9898,0.9870
