total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
36917.3216,46.2029,-9.1306,3723.1304,33157.1190,0.9016,0.8960
33732.4697,46.2035,-7.2024,536.3497,33157.1189,0.9910,0.9900
33738.0761,46.2082,-8.1735,542.9220,33157.1194,0.9606,0.9560
33719.3495,46.2164,-9.1345,525.1490,33157.1185,0.9925,0.9923
33730.7677,46.2162,-9.2833,536.7162,33157.1185,0.9667,0.9616
33709.8244,46.2238,-8.7665,515.2485,33157.1187,0.9934,0.9930
33725.5735,46.2287,-8.7080,530.9341,33157.1186,0.9688,0.9636
33703.3376,46.2282,-9.6726,509.6631,33157.1189,0.9935,0.9928
33711.3783,46.2325,-9.4632,517.4898,33157.1192,0.9624,0.9599
33718.9435,46.1996,-10.1877,525.8121,33157.1195,0.9923,0.9921
33725.1553,46.2181,-9.8940,531.7122,33157.1190,0.9687,0.9632
33697.5691,46.2289,-9.7798,504.0012,33157.1188,0.9930,0.9921
33699.0107,46.2352,-9.8699,505.5263,33157.1191,0.9730,0.9631
33673.2739,46.2388,-9.8591,479.7757,33157.1185,0.9939,0.9923
33677.0035,46.2442,-9.7664,483.4064,33157.1193,0.9749,0.9619
18360.5171,33.3081,-9.9233,485.2330,17851.8993,0.9907,0.9909
-5508.7564,16.0469,-10.3471,539.4187,-6053.8750,0.9564,0.9525
-14042.1941,15.9701,-10.3504,529.1859,-14576.9997,0.9907,0.9907
-17508.3624,15.9845,-10.3500,538.5393,-18052.5362,0.9567,0.9526
-18775.8013,16.0749,-10.3454,527.6551,-19309.1859,0.9910,0.9910
-19310.7029,16.7194,-10.3332,536.3096,-19853.3988,0.9583,0.9541
-19600.1589,16.9278,-10.3418,526.8286,-20133.5735,0.9912,0.9911
-19753.9730,16.9777,-10.3373,535.8694,-20296.4827,0.9581,0.9534
-19868.5776,17.0555,-10.3304,524.3820,-20399.6847,0.9914,0.9913
-19928.3801,17.2730,-10.3165,533.9611,-20469.2976,0.9585,0.9539
-19990.2619,17.4144,-10.3131,521.1834,-20518.5467,0.9916,0.9916
-20016.3311,17.8081,-10.2936,530.8711,-20554.7167,0.9593,0.9533
-20057.1204,18.4285,-10.2721,516.8152,-20582.0920,0.9919,0.9914
-20066.8873,18.7971,-10.2728,527.9161,-20603.3277,0.9616,0.9541
-20096.6379,19.2710,-10.2567,514.4921,-20620.1442,0.9921,0.9920
