total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
4477138.0858,46.0338,-99.2526,4477158.1458,33.1588,0.4551,0.4568
230629.0437,46.2753,-100.7058,230650.3153,33.1588,0.0901,0.0966
39334.7120,46.4495,-103.6163,39358.7200,33.1588,0.1895,0.1752
17584.1426,46.4470,-103.6163,17608.1531,33.1588,0.3171,0.2969
13024.8017,46.4483,-103.6163,13048.8109,33.1588,0.0725,0.0714
7540.9032,46.4480,-103.6163,7564.9127,33.1588,0.9969,0.9954
6411.8700,46.4497,-103.6163,6435.8778,33.1588,0.3801,0.3642
6031.3087,46.4509,-103.6161,6055.3150,33.1588,0.2429,0.2419
6765.6965,46.4476,-103.6136,6789.7036,33.1588,0.0046,0.0041
6087.2552,46.4481,-103.6098,6111.2580,33.1588,0.9920,0.9902
6654.1752,46.4472,-103.5988,6678.1679,33.1588,0.9992,0.9985
6345.3123,46.4500,-103.5049,6369.2083,33.1588,0.3158,0.3037
6002.9308,46.4452,-102.7168,6026.0436,33.1588,0.2400,0.2414
6776.0613,46.4482,-101.2992,6797.7536,33.1588,0.0029,0.0023
6107.9066,46.4426,-101.3284,6129.6337,33.1588,0.9937,0.9921
6601.8132,22.9962,-103.6163,6662.9367,19.4967,0.9994,0.9988
6263.4154,15.0185,-103.6163,6355.3682,-3.3550,0.3100,0.2972
5918.5312,14.9198,-103.6163,6018.2109,-10.9832,0.2404,0.2414
6662.5080,14.9035,-103.6163,6766.6900,-15.4692,0.0024,0.0020
5979.7522,14.9032,-103.6163,6086.1023,-17.6370,0.9943,0.9928
6538.7702,14.9071,-103.6163,6646.1860,-18.7066,0.9995,0.9991
6226.9570,14.9070,-103.6163,6334.9430,-19.2767,0.3066,0.2933
5906.0758,14.9065,-103.6163,6014.3910,-19.6053,0.2413,0.2421
6665.7633,14.9085,-103.6163,6774.2783,-19.8073,0.0020,0.0018
5992.3825,14.9079,-103.6163,6101.0288,-19.9378,0.9947,0.9933
6526.4347,14.9089,-103.6163,6635.1675,-20.0254,0.9995,0.9992
6230.2859,14.9084,-103.6163,6339.0797,-20.0858,0.3048,0.2908
5915.6993,14.9072,-103.6163,6024.5368,-20.1284,0.2420,0.2421
6646.7140,14.9079,-103.6163,6755.5813,-20.1589,0.0018,0.0017
5967.6764,14.9063,-103.6163,6076.5675,-20.1810,0.9950,0.9937
