total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
715740.7314,46.1341,-99.5638,715761.0032,33.1579,0.5030,0.5023
477518.6976,46.1372,-103.3668,477542.7693,33.1579,0.5088,0.5061
239368.5037,46.1331,-103.0899,239392.3026,33.1579,0.5369,0.5343
33605.6644,46.1461,-101.1248,33627.4853,33.1579,0.8477,0.8405
1912.8091,46.1504,-95.9257,1929.4265,33.1579,0.9118,0.9084
684.6768,46.1507,-90.8529,696.2211,33.1579,0.9712,0.9697
179.4592,46.1525,-93.9154,194.0642,33.1579,0.9902,0.9878
88.5249,46.1615,-96.1552,105.3607,33.1579,0.9920,0.9898
74.8787,46.1594,-94.3268,89.8882,33.1579,0.9929,0.9907
70.1452,46.1601,-89.7295,80.5567,33.1579,0.9785,0.9740
70.1772,46.1519,-85.5623,76.4297,33.1579,0.9942,0.9920
69.3390,46.1526,-82.9114,72.9399,33.1579,0.9943,0.9919
66.8924,46.1584,-81.7751,69.3513,33.1579,0.9824,0.9761
68.5270,46.1515,-76.9859,66.2036,33.1579,0.9952,0.9929
64.4772,46.1515,-79.0165,64.1843,33.1579,0.9953,0.9929
15.4763,24.0196,-101.3372,62.7518,30.0422,0.9831,0.9784
-7.4515,14.9359,-102.8422,62.5047,17.9502,0.9955,0.9935
-20.4494,14.8489,-103.4584,60.3844,7.7756,0.9955,0.9935
-26.8275,14.8423,-103.4659,58.3337,3.4623,0.9842,0.9804
-29.7132,14.8443,-103.3263,56.8471,1.9217,0.9960,0.9940
-31.6930,14.8428,-103.2085,55.3976,1.2750,0.9960,0.9939
-34.1546,14.8387,-103.4960,53.5483,0.9544,0.9846,0.9800
-35.1643,14.8397,-103.4637,52.6835,0.7762,0.9963,0.9946
-35.9400,14.8387,-103.0456,51.5974,0.6696,0.9961,0.9948
-31.4385,14.8384,-101.9102,55.0305,0.6029,0.9803,0.9768
-32.5983,14.8145,-102.8922,54.9196,0.5597,0.9964,0.9952
-35.0089,14.8222,-103.0465,52.6843,0.5311,0.9963,0.9953
-36.7817,14.8192,-103.4626,51.3495,0.5120,0.9847,0.9814
-37.6710,14.8185,-103.4917,50.5027,0.4995,0.9965,0.9957
-37.8078,14.8164,-103.4943,50.3790,0.4912,0.9964,0.9956
