total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
27996.8634,46.5272,-758.9582,28377.7199,331.5746,0.5245,0.5247
5731.6309,46.4857,-747.2181,6100.7887,331.5746,0.7889,0.7847
-219.9383,46.1332,-983.4619,385.8159,331.5746,0.8386,0.8264
193.5844,46.3658,-454.0855,269.7296,331.5746,0.8694,0.8586
170.2838,46.3789,-379.9521,172.2824,331.5746,0.9164,0.9108
109.5340,46.3707,-353.9693,85.5581,331.5746,0.9456,0.9465
77.9902,46.3737,-331.0472,31.0891,331.5746,0.9523,0.9503
92.9568,46.2369,-300.8932,16.0386,331.5746,0.9942,0.9929
116.3785,46.2390,-274.2754,12.8403,331.5746,0.9583,0.9511
59.8466,46.3218,-330.4164,12.3667,331.5746,0.9950,0.9940
80.5636,46.5628,-309.8366,12.2629,331.5746,0.9587,0.9549
145.1570,46.5363,-244.8857,11.9319,331.5746,0.9957,0.9949
-35.9903,46.5365,-425.7662,11.6648,331.5746,0.9599,0.9568
102.6804,46.5649,-286.9340,11.4749,331.5745,0.9961,0.9953
110.8135,46.5602,-278.6140,11.2928,331.5746,0.9620,0.9583
-803.6170,22.4392,-1020.0329,11.1252,182.8515,0.9964,0.9957
-1066.8633,14.9411,-1036.1633,11.0101,-56.6511,0.9633,0.9607
-1152.8860,14.8974,-1036.1633,10.8312,-142.4513,0.9966,0.9960
-1189.2036,14.9020,-1036.1633,10.8101,-178.7523,0.9637,0.9611
-1202.6147,14.9058,-1036.1633,10.6693,-192.0265,0.9967,0.9962
-1208.4467,14.9093,-1036.1633,10.5965,-197.7893,0.9636,0.9615
-1211.4045,14.9124,-1036.1633,10.6007,-200.7543,0.9968,0.9964
-1213.1838,14.9143,-1036.1633,10.5409,-202.4756,0.9642,0.9620
-1214.4107,14.9145,-1036.1633,10.4021,-203.5639,0.9969,0.9965
-1215.0627,14.9137,-1036.1633,10.4833,-204.2964,0.9653,0.9635
-1215.7141,14.9123,-1036.1633,10.3503,-204.8134,0.9970,0.9966
-1216.0729,14.9146,-1036.1633,10.3680,-205.1922,0.9651,0.9633
-1216.4182,14.9159,-1036.1633,10.3070,-205.4778,0.9970,0.9969
-1216.6246,14.9148,-1036.1633,10.3225,-205.6986,0.9652,0.9635
-1216.8491,14.9158,-1036.1633,10.2711,-205.8727,0.9970,0.9969
