total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
8010648.2413,46.4723,-100.0351,8010370.2354,331.5687,0.4865,0.4870
2022434.9048,46.4780,-102.2602,2022159.1183,331.5687,0.5004,0.5000
104096.8231,46.2671,-102.7700,103821.7573,331.5687,0.0852,0.0888
46372.2920,46.2653,-103.6163,46098.0744,331.5687,0.0859,0.0805
22425.9192,46.2665,-103.6163,22151.7004,331.5687,0.1987,0.1841
8729.0784,46.2691,-103.6163,8454.8570,331.5687,0.8938,0.8896
5757.3451,46.2692,-103.6163,5483.1236,331.5687,0.8778,0.8735
5651.7241,46.2698,-103.6163,5377.5019,331.5687,0.1050,0.0930
5702.5139,46.2677,-103.6163,5428.2939,331.5687,0.9058,0.9038
5635.1963,46.2660,-103.6163,5360.9780,331.5687,0.8830,0.8800
5625.2178,46.2676,-103.6163,5350.9979,331.5687,0.1023,0.0908
5692.9255,46.2700,-103.6163,5418.7032,331.5687,0.9066,0.9049
5620.7989,46.2675,-103.6161,5346.5789,331.5687,0.8834,0.8808
5611.1272,46.2689,-103.6148,5336.9044,331.5687,0.1017,0.0903
5687.0208,46.2700,-103.6110,5412.7931,331.5687,0.9067,0.9051
5444.0282,22.2793,-103.6156,5345.3811,179.9834,0.8834,0.8807
5195.2592,14.9435,-103.6160,5340.4351,-56.5035,0.1018,0.0904
5181.8614,14.8982,-103.6160,5413.1897,-142.6105,0.9067,0.9050
5073.8810,14.9037,-103.6159,5341.4291,-178.8359,0.8834,0.8807
5057.5228,14.9052,-103.6157,5338.3144,-192.0811,0.1018,0.0903
5117.8112,14.9111,-103.6157,5404.3426,-197.8269,0.9067,0.9050
5049.3862,14.9108,-103.6155,5338.8720,-200.7811,0.8834,0.8808
5043.7805,14.9131,-103.6155,5334.9783,-202.4955,0.1017,0.0904
5134.3071,14.9170,-103.6154,5426.5844,-203.5789,0.9066,0.9050
5050.5735,14.9159,-103.6152,5343.5809,-204.3081,0.8834,0.8808
5042.0111,14.9143,-103.6151,5335.5348,-204.8228,0.1017,0.0902
5130.2431,14.9162,-103.6151,5424.1418,-205.1998,0.9067,0.9050
5048.0583,14.9153,-103.6151,5342.2423,-205.4842,0.8834,0.8808
5037.7806,14.9167,-103.6150,5332.1828,-205.7039,0.1016,0.0901
5126.0431,14.9171,-103.6150,5420.6182,-205.8771,0.9067,0.9051
