total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
6891181.6035,46.3983,-9810.7679,6867788.3645,33157.6086,0.4878,0.4898
1242507.8346,46.4039,-10333.8506,1219637.6728,33157.6086,0.4481,0.4596
90407.1586,46.4357,-9957.1377,67160.2524,33157.6083,0.3393,0.3639
41260.5026,46.5717,-10361.4691,18417.7916,33157.6084,0.9149,0.9155
24460.3549,46.5713,-10361.5509,1617.7259,33157.6086,0.9961,0.9944
23916.0537,46.5752,-10361.3058,1073.1754,33157.6089,0.9620,0.9547
23974.2103,46.5682,-10361.2211,1131.2547,33157.6086,0.9939,0.9919
23892.5585,46.5703,-10360.1550,1048.5344,33157.6088,0.9982,0.9976
23858.7561,46.5741,-10341.6711,996.2444,33157.6087,0.9769,0.9733
23971.9437,46.5694,-10308.1615,1075.9272,33157.6086,0.9959,0.9952
23917.8195,46.5732,-10289.4080,1003.0454,33157.6089,0.9987,0.9986
24030.1542,46.5696,-10148.6254,974.6013,33157.6087,0.9812,0.9798
24400.9259,46.5511,-9860.1587,1056.9249,33157.6086,0.9964,0.9960
24517.9413,46.5094,-9652.8969,966.7205,33157.6084,0.9989,0.9988
24624.9595,46.4998,-9508.1787,929.0300,33157.6084,0.9815,0.9791
8582.2062,40.9917,-10326.6164,1003.0200,17864.8109,0.9966,0.9963
-15421.2050,39.2236,-10359.5622,947.5726,-6048.4389,0.9988,0.9988
-23967.8558,40.0522,-10359.2234,921.1658,-14569.8506,0.9818,0.9795
-27369.5964,41.3027,-10358.2288,995.6832,-18048.3534,0.9964,0.9959
-28681.6087,41.8375,-10359.1038,943.6348,-19307.9772,0.9988,0.9988
-29253.9639,42.0418,-10356.8229,914.0067,-19853.1895,0.9814,0.9788
-29444.4578,42.2095,-10356.0329,1003.0286,-20133.6629,0.9963,0.9959
-29658.4823,42.3728,-10357.0726,952.8679,-20296.6503,0.9987,0.9986
-29794.6411,42.6078,-10352.5518,915.1627,-20399.8597,0.9804,0.9785
-29772.5002,42.8133,-10352.1493,1006.2942,-20469.4584,0.9960,0.9957
-29870.9061,42.8346,-10349.7774,954.7247,-20518.6880,0.9986,0.9986
-29934.4647,43.1517,-10351.5123,928.7336,-20554.8376,0.9791,0.9777
-29877.3789,43.0888,-10351.4505,1013.1773,-20582.1945,0.9958,0.9956
-29953.5013,43.0176,-10352.2381,959.1338,-20603.4146,0.9985,0.9984
-29991.6389,42.9513,-10350.8231,936.4504,-20620.2176,0.9783,0.9769
