total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
4515800.7837,46.3166,-992.5750,4483586.9860,33160.0561,0.4555,0.4574
269291.0646,46.1852,-1004.3883,237089.2109,33160.0569,0.3678,0.3930
67663.5454,45.8469,-1035.9012,35493.5428,33160.0569,0.4603,0.4721
41231.4885,45.8472,-1035.1092,9060.6940,33160.0565,0.8452,0.8421
33767.1627,45.8490,-1031.2990,1592.5563,33160.0564,0.9919,0.9898
33543.3582,45.8545,-1029.7263,1367.1737,33160.0563,0.9778,0.9751
33413.5374,45.8529,-1029.3867,1237.0154,33160.0558,0.9839,0.9815
33357.6292,45.8530,-1028.9674,1180.6873,33160.0564,0.9952,0.9939
33350.1427,45.8542,-1026.2700,1170.5024,33160.0561,0.9842,0.9821
33311.0980,45.8739,-1010.5349,1115.7023,33160.0567,0.9883,0.9864
33281.3495,45.9320,-995.7872,1071.1482,33160.0564,0.9966,0.9953
33285.6189,45.9811,-980.5535,1060.1352,33160.0560,0.9878,0.9849
33239.3245,46.0084,-975.8078,1009.0680,33160.0558,0.9907,0.9883
33221.9651,46.0181,-967.4979,983.3888,33160.0560,0.9973,0.9959
33203.0104,46.0354,-985.3698,982.2887,33160.0562,0.9902,0.9868
18229.4784,42.3147,-1032.3769,937.3061,18282.2344,0.9919,0.9890
-6110.1683,41.1787,-1035.9576,920.6688,-6036.0582,0.9977,0.9965
-14744.0296,41.8799,-1035.8496,934.0421,-14684.1021,0.9905,0.9871
-18177.1188,42.8246,-1035.7641,909.6466,-18093.8258,0.9922,0.9889
-19422.6367,43.2478,-1035.8647,895.4581,-19325.4779,0.9978,0.9964
-19922.1079,44.0989,-1028.6569,924.0997,-19861.6496,0.9908,0.9872
-20218.3254,42.5316,-1030.0724,907.6939,-20138.4786,0.9926,0.9910
-20392.8588,42.3462,-1033.6268,898.1991,-20299.7773,0.9980,0.9973
-20478.3684,42.5010,-1032.8007,913.9918,-20402.0606,0.9912,0.9877
-20572.1785,42.7066,-1032.7852,888.9931,-20471.0931,0.9930,0.9910
-20632.8278,42.8471,-1034.6037,878.8814,-20519.9526,0.9982,0.9971
-20659.4814,42.8351,-1034.4817,888.0135,-20555.8484,0.9915,0.9886
-20703.1639,42.7484,-1035.0438,872.1527,-20583.0213,0.9930,0.9906
-20735.4396,42.8192,-1034.7093,860.5548,-20604.1043,0.9982,0.9972
-20733.5120,42.7754,-1032.9538,877.4677,-20620.8014,0.9915,0.9879
