total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
195.7519,46.1502,-59.5253,175.9692,33.1578,0.1742,0.1781
53.0649,46.2020,-56.7849,30.4900,33.1578,0.1276,0.1215
55.5978,46.1726,-35.4861,11.7535,33.1578,0.0428,0.0454
57.2231,46.1207,-28.3720,6.3167,33.1578,0.0811,0.0838
55.4523,46.0918,-29.2479,5.4506,33.1578,0.0858,0.0844
51.9619,46.0850,-32.4041,5.1233,33.1578,0.0802,0.0776
49.1997,46.0821,-34.8796,4.8394,33.1578,0.0790,0.0735
47.8508,46.0892,-35.9763,4.5800,33.1578,0.0841,0.0741
45.1226,46.0813,-38.5526,4.4361,33.1578,0.0960,0.0830
47.0038,46.0825,-36.4076,4.1711,33.1578,0.0903,0.0748
45.4022,46.0797,-37.8673,4.0320,33.1578,0.1066,0.0851
43.6051,46.0795,-39.6423,4.0101,33.1578,0.1164,0.0955
44.1868,46.0817,-38.8496,3.7970,33.1578,0.1257,0.0968
43.2962,46.0820,-39.6666,3.7230,33.1578,0.1352,0.1008
42.7523,46.0761,-40.1210,3.6394,33.1578,0.1571,0.1172
-54.2521,22.5513,-102.3716,4.6565,20.9117,0.0239,0.0244
-86.7450,14.9925,-103.6163,4.6755,-2.7966,0.0228,0.0235
-95.0233,14.9119,-103.6163,4.6694,-10.9883,0.0234,0.0244
-99.7225,14.9015,-103.6163,4.6767,-15.6843,0.0241,0.0252
-101.8341,14.9057,-103.6163,4.6677,-17.7911,0.0241,0.0253
-102.8406,14.9063,-103.6159,4.6715,-18.8025,0.0219,0.0231
-103.3855,14.9076,-103.6151,4.6605,-19.3386,0.0232,0.0244
-103.6893,14.9076,-103.6143,4.6647,-19.6473,0.0234,0.0247
-103.8806,14.9082,-103.6139,4.6623,-19.8372,0.0243,0.0256
-104.0085,14.9075,-103.6138,4.6578,-19.9601,0.0241,0.0254
-104.0887,14.9068,-103.6137,4.6606,-20.0424,0.0227,0.0240
-104.1441,14.9097,-103.6141,4.6594,-20.0991,0.0230,0.0243
-104.1847,14.9109,-103.6141,4.6573,-20.1388,0.0240,0.0254
-104.2119,14.9071,-103.6144,4.6624,-20.1670,0.0241,0.0256
-104.2385,14.9071,-103.6144,4.6563,-20.1875,0.0235,0.0250
