total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
3368.5929,46.2442,-4.0945,10.6771,3315.7661,0.9649,0.9624
3361.0165,46.1613,-2.0494,1.1385,3315.7661,0.9816,0.9780
3361.4674,46.1059,-1.2391,0.8345,3315.7661,0.9851,0.9818
3361.6269,46.0934,-0.9814,0.7487,3315.7661,0.9869,0.9840
3361.6353,46.0898,-0.9115,0.6908,3315.7661,0.9836,0.9803
3361.6233,46.0930,-0.8890,0.6531,3315.7661,0.9883,0.9855
3361.5800,46.0851,-0.8718,0.6005,3315.7661,0.9899,0.9877
3361.5744,46.0833,-0.8452,0.5702,3315.7661,0.9892,0.9862
3361.5653,46.0721,-0.8086,0.5357,3315.7661,0.9909,0.9887
3361.5557,46.0583,-0.7736,0.5048,3315.7662,0.9915,0.9897
3361.5576,46.0311,-0.7249,0.4853,3315.7661,0.9915,0.9897
3361.5138,45.9970,-0.7006,0.4512,3315.7661,0.9915,0.9897
3361.4870,45.9936,-0.6989,0.4261,3315.7661,0.9939,0.9925
3361.5579,46.0006,-0.6969,0.4881,3315.7661,0.9923,0.9906
3361.4398,46.0051,-0.6949,0.3635,3315.7661,0.9917,0.9900
1829.1807,23.5085,-8.3699,0.6706,1813.3715,0.9930,0.9916
-599.9936,14.9349,-10.3607,0.3745,-604.9423,0.9926,0.9910
-1455.8039,14.8921,-10.3602,0.2756,-1460.6115,0.9943,0.9930
-1799.7146,14.9001,-10.3595,0.2561,-1804.5114,0.9947,0.9935
-1924.5027,14.9069,-10.3587,0.8066,-1929.8575,0.9929,0.9932
-1964.1188,14.9099,-10.3583,15.8108,-1984.4812,0.9954,0.9967
-1993.4299,14.9110,-10.3582,14.6913,-2012.6740,0.9556,0.9638
-2013.7018,14.9136,-10.3582,10.8261,-2029.0833,0.2626,0.2761
-2024.8952,14.9142,-10.3583,10.0316,-2039.4826,0.9787,0.9839
-2032.8679,14.9167,-10.3583,9.0719,-2046.4983,0.9696,0.9754
-2038.3431,14.9162,-10.3582,8.5607,-2051.4618,0.1974,0.2086
-2042.2271,14.9169,-10.3583,8.3213,-2055.1070,0.9797,0.9844
-2045.5054,14.9184,-10.3583,7.8001,-2057.8657,0.9706,0.9763
-2047.8934,14.9193,-10.3582,7.5508,-2060.0054,0.1604,0.1582
-2049.6440,14.9186,-10.3583,7.4953,-2061.6997,0.9807,0.9854
