total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
12907.9111,46.5143,-98.9549,9644.5409,3315.8108,0.8528,0.8568
4484.0680,46.5110,-87.9342,1209.6805,3315.8107,0.7064,0.7088
3821.1365,46.4252,-98.7503,557.6508,3315.8108,0.9793,0.9821
3587.7180,46.4280,-99.5313,325.0106,3315.8108,0.8100,0.8136
3533.0414,46.4290,-103.5615,274.3632,3315.8108,0.9958,0.9954
3520.2688,46.4265,-100.9794,259.0110,3315.8108,0.8343,0.8344
3518.1111,46.5189,-103.6159,259.3973,3315.8107,0.9967,0.9966
3512.6172,46.5212,-102.1090,252.3942,3315.8108,0.8702,0.8720
3545.0766,46.5224,-69.4411,252.1846,3315.8108,0.9969,0.9970
3527.4753,46.5155,-85.7676,250.9165,3315.8108,0.8708,0.8725
3560.6531,46.5011,-54.1798,252.5210,3315.8108,0.9969,0.9970
3566.8906,46.4260,-45.8277,250.4816,3315.8107,0.8752,0.8736
3568.9078,46.4284,-45.8609,252.5295,3315.8108,0.9966,0.9969
3560.7554,46.4249,-54.6132,253.1330,3315.8107,0.8711,0.8713
3561.5875,46.4293,-56.3245,255.6720,3315.8108,0.9964,0.9968
1992.2652,22.8631,-102.4921,254.6255,1817.2686,0.8677,0.8661
-426.6130,15.0672,-103.6119,257.5648,-595.6331,0.9961,0.9966
-1293.1864,14.9791,-103.6114,257.4039,-1461.9579,0.8660,0.8651
-1639.5664,14.9817,-103.6112,257.5667,-1808.5036,0.9959,0.9964
-1762.8792,14.9852,-103.6107,258.3102,-1932.5639,0.8647,0.8639
-1814.2013,14.9801,-103.6127,260.6688,-1986.2375,0.9957,0.9963
-1843.4238,14.9860,-103.6128,259.0780,-2013.8750,0.8638,0.8623
-1857.0030,14.9787,-103.6117,261.5785,-2029.9485,0.9955,0.9962
-1867.8028,14.9781,-103.6123,260.9643,-2040.1329,0.8625,0.8611
-1870.9368,14.9775,-103.6133,264.7027,-2047.0036,0.9953,0.9960
-1878.3083,14.9783,-103.6138,262.1922,-2051.8651,0.8633,0.8617
-1879.9754,14.9775,-103.6138,264.0969,-2055.4359,0.9952,0.9959
-1883.1067,14.9796,-103.6131,263.6656,-2058.1388,0.8615,0.8602
-1883.5596,14.9764,-103.6128,265.3124,-2060.2356,0.9950,0.9957
-1885.5588,14.9800,-103.6129,264.9702,-2061.8962,0.8597,0.8579
