total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
-28.1867,46.0210,-828.2054,720.8399,33.1577,0.4631,0.4463
-480.3740,46.1057,-730.0326,170.3952,33.1577,0.3753,0.3490
-605.2346,46.0947,-742.0947,57.6077,33.1577,0.9061,0.9037
-541.6638,46.0771,-664.3935,43.4949,33.1577,0.9833,0.9771
-491.5783,46.0691,-615.4495,44.6443,33.1577,0.3096,0.2399
-427.1867,46.0677,-549.0119,42.5998,33.1577,0.9735,0.9451
-418.1202,46.0648,-541.2677,43.9250,33.1577,0.0917,0.1067
-858.0856,45.9874,-982.7775,45.5467,33.1577,0.1647,0.1680
-773.7908,45.9957,-897.6857,44.7414,33.1577,0.9956,0.9957
-695.3255,46.0036,-820.7758,46.2889,33.1577,0.6231,0.6253
-693.5002,46.0038,-814.8839,42.2222,33.1577,0.1913,0.1894
-660.5376,46.0127,-783.1411,43.4331,33.1577,0.9958,0.9953
-659.5958,46.0167,-783.5485,44.7783,33.1577,0.7432,0.7033
-660.6124,46.0225,-781.4063,41.6137,33.1577,0.1937,0.1887
-680.7663,46.0207,-801.9918,42.0470,33.1577,0.9959,0.9946
-940.0762,22.6054,-1030.4057,47.0746,20.6494,0.5790,0.5937
-980.9216,15.0108,-1036.1622,43.1672,-2.9374,0.1430,0.1438
-987.3028,14.9269,-1036.1621,45.0208,-11.0884,0.9978,0.9985
-989.8728,14.9164,-1036.1621,47.0654,-15.6925,0.5807,0.5942
-995.7556,14.9171,-1036.1629,43.2671,-17.7768,0.1422,0.1432
-995.0126,14.9062,-1036.1581,45.0294,-18.7901,0.9977,0.9984
-993.5957,14.9063,-1036.1621,46.9897,-19.3295,0.5803,0.5937
-997.8037,14.9082,-1036.1624,43.0911,-19.6405,0.1425,0.1440
-996.0598,14.9096,-1036.1631,45.0256,-19.8318,0.9979,0.9986
-994.3468,14.9074,-1036.1622,46.8636,-19.9556,0.5818,0.5949
-998.1815,14.9076,-1036.1627,43.1123,-20.0388,0.1433,0.1429
-996.3001,14.9068,-1036.1623,45.0515,-20.0962,0.9977,0.9985
-994.4044,14.9083,-1036.1624,46.9862,-20.1364,0.5806,0.5926
-998.1708,14.9087,-1036.1620,43.2477,-20.1651,0.1411,0.1420
-996.4088,14.9064,-1036.1622,45.0330,-20.1859,0.9978,0.9985
