total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
48916.7090,46.1517,-9846.1652,58683.5646,33.1579,0.9128,0.9151
-7796.2956,46.1390,-8633.8876,758.2952,33.1579,0.9142,0.9074
-6497.6201,46.0510,-6721.0527,144.2237,33.1579,0.9581,0.9520
-9267.7017,46.0149,-9429.7227,82.8482,33.1579,0.9859,0.9833
-7579.6495,46.0307,-7717.2378,58.3997,33.1579,0.9870,0.9839
-6880.7014,46.0367,-7014.0819,54.1859,33.1579,0.9884,0.9850
-5998.6879,46.0352,-6128.4225,50.5414,33.1579,0.9892,0.9861
-6296.8375,46.0382,-6422.8367,46.8031,33.1579,0.9905,0.9871
-5058.9698,46.0338,-5182.1238,43.9623,33.1579,0.9896,0.9871
-7361.7376,46.0442,-7482.8464,41.9067,33.1579,0.9918,0.9884
-5214.5459,46.0363,-5332.6363,38.8962,33.1579,0.9925,0.9898
-4650.2121,46.0351,-4766.0872,36.6822,33.1579,0.9931,0.9903
-4754.2045,46.0366,-4868.1051,34.7062,33.1579,0.9934,0.9903
-5129.8777,46.0384,-5242.2029,33.1289,33.1579,0.9939,0.9907
-4134.9132,46.0305,-4245.3356,31.2340,33.1579,0.9943,0.9914
-10134.1015,22.5042,-10218.0597,40.5866,20.8673,0.9918,0.9901
-10310.5782,14.9949,-10361.6328,38.8493,-2.7895,0.9920,0.9905
-10319.8557,14.9131,-10361.6328,37.6038,-10.7398,0.9923,0.9905
-10325.5720,14.9036,-10361.6328,36.7185,-15.5612,0.9924,0.9914
-10329.0050,14.9044,-10361.6328,35.5154,-17.7920,0.9926,0.9917
-10330.8081,14.9075,-10361.6327,34.7269,-18.8097,0.9929,0.9918
-10332.2131,14.9094,-10361.6328,33.8547,-19.3443,0.9931,0.9923
-10332.9084,14.9106,-10361.6328,33.4652,-19.6515,0.9933,0.9925
-10333.7586,14.9104,-10361.6328,32.8040,-19.8401,0.9933,0.9927
-10334.4045,14.9087,-10361.6328,32.2818,-19.9622,0.9934,0.9929
-10334.9742,14.9120,-10361.6328,31.7905,-20.0440,0.9934,0.9930
-10335.1737,14.9089,-10361.6196,31.6373,-20.1003,0.9937,0.9932
-10335.4067,14.9095,-10361.6328,31.4565,-20.1399,0.9935,0.9933
-10335.6252,14.9086,-10361.6329,31.2671,-20.1681,0.9936,0.9934
-10336.1409,14.9090,-10361.6328,30.7712,-20.1884,0.9935,0.9935
