total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
96554.6218,46.5148,-10.0267,96484.9756,33.1581,0.8520,0.8561
12208.7327,46.5189,-10.3397,12139.3954,33.1581,0.6951,0.6992
4156.7591,46.5225,-10.3182,4087.3966,33.1581,0.9912,0.9912
1918.8202,46.5182,-10.2565,1849.4003,33.1581,0.9925,0.9908
1531.6895,46.5186,-9.9261,1461.9389,33.1581,0.9936,0.9921
1584.5453,46.4616,-9.2891,1514.2147,33.1581,0.9253,0.9229
1778.1227,46.4253,-10.3300,1708.8692,33.1581,0.9885,0.9857
1507.0691,46.4279,-10.2372,1437.7203,33.1581,0.9965,0.9956
1808.3395,46.4301,-10.3108,1739.0622,33.1581,0.9940,0.9928
1488.5945,46.4240,-10.3142,1419.3266,33.1581,0.9947,0.9937
1563.4700,46.4235,-10.2786,1494.1671,33.1581,0.9267,0.9254
1745.2844,46.4285,-10.2846,1675.9824,33.1581,0.9896,0.9868
1479.6179,46.4290,-10.2675,1410.2983,33.1581,0.9971,0.9965
1770.6469,46.4278,-10.2507,1701.3117,33.1581,0.9948,0.9939
1469.3280,46.4312,-10.2153,1399.9540,33.1581,0.9949,0.9942
1494.9032,26.6299,-10.2865,1458.0551,20.5048,0.9301,0.9283
1649.5856,18.3250,-10.2812,1645.5122,-3.9705,0.9902,0.9899
1382.9780,16.5208,-10.3060,1388.6180,-11.8549,0.9971,0.9968
1691.8870,16.1420,-10.2997,1702.1489,-16.1043,0.9947,0.9940
1393.0646,16.0300,-10.2412,1405.3325,-18.0567,0.9947,0.9941
1456.4786,15.7679,-10.2655,1469.9283,-18.9521,0.9211,0.9211
1654.9057,15.8228,-10.2922,1668.7998,-19.4248,0.9900,0.9907
1370.2100,15.7689,-10.2949,1384.4376,-19.7016,0.9970,0.9968
1681.6670,15.7091,-10.3037,1696.1337,-19.8721,0.9948,0.9941
1361.9918,15.6705,-10.3084,1376.6122,-19.9825,0.9950,0.9945
1433.9848,15.6469,-10.2929,1448.6873,-20.0566,0.9262,0.9257
1646.6671,15.6189,-10.2892,1661.4451,-20.1077,0.9893,0.9893
1367.3748,15.5795,-10.3038,1382.2432,-20.1441,0.9969,0.9967
1673.2735,15.5732,-10.2892,1688.1597,-20.1702,0.9946,0.9940
1374.3668,15.5466,-10.2783,1389.2878,-20.1893,0.9948,0.9944
