total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
17886.5001,45.7158,-5.1099,17514.2983,331.5960,0.4952,0.4972
11736.8797,45.6495,-5.2882,11364.9224,331.5960,0.4867,0.4888
5591.8201,45.6435,-4.3318,5218.9125,331.5959,0.4290,0.4312
891.9413,45.8947,-5.0059,519.4566,331.5960,0.2195,0.2344
525.6859,46.0427,-3.8210,151.8682,331.5959,0.2266,0.2414
482.4199,46.0453,-3.9525,108.7311,331.5960,0.1904,0.2029
438.5665,46.0428,-4.0693,64.9970,331.5960,0.1784,0.1892
401.1660,46.0440,-4.0821,27.6082,331.5960,0.2926,0.2917
383.2829,46.0450,-3.8090,9.4510,331.5959,0.0378,0.0398
379.3795,46.0426,-3.8517,5.5926,331.5960,0.5949,0.5918
379.0520,46.0405,-3.5934,5.0090,331.5960,0.9960,0.9951
378.8972,46.0430,-3.5870,4.8453,331.5960,0.1971,0.2063
378.6566,46.0442,-3.6285,4.6449,331.5960,0.7651,0.7662
378.4982,46.0401,-3.5976,4.4597,331.5960,0.9978,0.9970
378.4609,46.0447,-3.6003,4.4205,331.5960,0.2155,0.2253
197.7540,22.4415,-10.2401,4.3005,181.2522,0.8491,0.8497
-48.4240,14.9469,-10.3600,4.1739,-57.1848,0.9988,0.9986
-133.4078,14.8992,-10.3593,4.1835,-142.1312,0.2408,0.2522
-169.7752,14.9026,-10.3585,4.0945,-178.4138,0.8949,0.8952
-183.2893,14.9069,-10.3583,4.0052,-191.8432,0.9992,0.9994
-189.0868,14.9118,-10.3581,4.0444,-197.6850,0.2685,0.2811
-192.1496,14.9136,-10.3581,3.9834,-200.6885,0.9181,0.9213
-193.9779,14.9107,-10.3581,3.9000,-202.4305,0.9993,0.9995
-195.0254,14.9147,-10.3582,3.9494,-203.5312,0.3088,0.3241
-195.8132,14.9150,-10.3581,3.9016,-204.2716,0.9234,0.9275
-196.4058,14.9134,-10.3581,3.8329,-204.7940,0.9992,0.9995
-196.7323,14.9158,-10.3581,3.8865,-205.1765,0.3415,0.3574
-197.0694,14.9172,-10.3582,3.8366,-205.4650,0.9282,0.9326
-197.3504,14.9159,-10.3580,3.7796,-205.6878,0.9992,0.9994
-197.4679,14.9155,-10.3581,3.8382,-205.8635,0.3653,0.3807
