total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
374.8893,46.4193,-63.9053,60.7747,331.6007,0.0663,0.0705
338.2948,46.4227,-49.9092,10.1806,331.6007,0.7539,0.7427
350.3912,46.4150,-35.6361,8.0116,331.6007,0.9015,0.8997
336.6929,46.4383,-48.8724,7.5264,331.6007,0.9796,0.9817
358.2342,46.4380,-26.6303,6.8258,331.6007,0.2783,0.2806
360.4637,46.4362,-24.4557,6.8825,331.6007,0.9933,0.9945
361.4909,46.4294,-23.7240,7.1848,331.6007,0.0510,0.0543
362.4029,46.4325,-23.0063,7.3759,331.6007,0.2230,0.2299
363.3437,46.4268,-21.9750,7.2912,331.6007,0.9708,0.9751
363.6393,46.4223,-20.8711,6.4873,331.6007,0.1395,0.1413
365.4722,46.4226,-19.7562,7.2051,331.6007,0.9946,0.9962
367.4060,46.4093,-17.8840,7.2799,331.6007,0.9501,0.9561
369.7978,46.3994,-15.5671,7.3647,331.6007,0.9888,0.9917
373.3093,46.3427,-11.3460,6.7119,331.6007,0.2763,0.2803
376.8853,46.2472,-7.7284,6.7659,331.6007,0.9970,0.9979
119.0424,22.8441,-93.2940,7.1001,182.3922,0.0346,0.0363
-138.4672,14.9472,-103.6163,7.2861,-57.0842,0.1790,0.1859
-223.8801,14.8962,-103.6160,7.2220,-142.3823,0.9807,0.9854
-260.9189,14.9015,-103.6159,6.4458,-178.6503,0.1323,0.1327
-273.5148,14.9047,-103.6159,7.1807,-191.9842,0.9966,0.9977
-279.2311,14.9089,-103.6159,7.2478,-197.7719,0.9613,0.9679
-282.1128,14.9123,-103.6159,7.3371,-200.7462,0.9915,0.9941
-284.4827,14.9138,-103.6159,6.6907,-202.4714,0.2764,0.2803
-285.4995,14.9122,-103.6159,6.7657,-203.5616,0.9977,0.9984
-285.9132,14.9164,-103.6158,7.0813,-204.2950,0.0297,0.0318
-286.2121,14.9178,-103.6159,7.2984,-204.8125,0.1686,0.1757
-286.6722,14.9173,-103.6158,7.2177,-205.1914,0.9839,0.9882
-287.7518,14.9143,-103.6158,6.4270,-205.4773,0.1301,0.1313
-287.2397,14.9151,-103.6158,7.1592,-205.6982,0.9967,0.9978
-287.3466,14.9167,-103.6157,7.2248,-205.8724,0.9641,0.9709
