total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
209760.2826,46.1835,-999.5792,210680.5204,33.1579,0.9111,0.9139
6411.0597,46.1923,-1031.0281,7362.7377,33.1579,0.8104,0.8132
1097.3053,46.1908,-1026.8313,2044.7879,33.1579,0.9964,0.9952
475.5925,46.1846,-987.7955,1384.0454,33.1579,0.9945,0.9931
605.4394,46.1697,-953.9878,1480.0996,33.1579,0.9893,0.9866
1110.6488,46.1700,-967.8972,1999.2180,33.1579,0.9980,0.9975
2244.0807,46.1787,-1007.3556,3172.0998,33.1579,0.9242,0.9231
-201.8205,46.1733,-1007.0553,725.9036,33.1579,0.9944,0.9932
-318.8531,46.1725,-1002.5016,604.3181,33.1579,0.9462,0.9434
-309.0276,46.1724,-993.9661,605.6081,33.1579,0.9974,0.9966
-272.7332,46.1748,-977.9562,625.8903,33.1579,0.9955,0.9945
-342.7902,46.1738,-992.5260,570.4041,33.1579,0.9519,0.9476
-349.5797,46.1712,-991.5162,562.6073,33.1579,0.9979,0.9972
-317.1075,46.1690,-977.0775,580.6431,33.1579,0.9962,0.9950
-363.9589,46.1704,-983.5322,540.2450,33.1579,0.9496,0.9433
-428.7691,23.7845,-1028.1606,545.7621,29.8449,0.9980,0.9973
-436.6705,14.9899,-1035.9955,567.7158,16.6193,0.9964,0.9952
-489.2986,14.8671,-1035.9973,524.8057,7.0259,0.9537,0.9505
-487.0091,14.8613,-1035.9465,530.7129,3.3631,0.9981,0.9974
-466.2696,14.8646,-1035.9705,552.9008,1.9355,0.9964,0.9950
-517.2766,14.8697,-1035.9431,502.4988,1.2980,0.9539,0.9510
-498.5033,14.8684,-1035.9255,521.5794,0.9744,0.9982,0.9974
-474.4973,14.8717,-1035.9225,545.7604,0.7930,0.9965,0.9949
-514.1090,14.8690,-1035.9574,506.2952,0.6842,0.9548,0.9519
-507.0551,14.8703,-1035.8493,513.3086,0.6153,0.9982,0.9974
-480.0980,14.8715,-1035.9094,540.3695,0.5704,0.9966,0.9947
-524.7381,14.8720,-1035.6311,495.4806,0.5404,0.9538,0.9493
-460.9306,14.8812,-1030.3430,554.0111,0.5201,0.9976,0.9969
-416.0648,14.8731,-1033.9025,602.4580,0.5066,0.9954,0.9943
-451.0709,14.8796,-1033.3618,566.9145,0.4968,0.9480,0.9446
