total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
82038.9323,46.1474,-9848.6661,58683.5606,33157.8904,0.9128,0.9151
25061.3750,46.1408,-8905.1894,762.5329,33157.8907,0.9909,0.9899
26884.1974,46.0505,-6479.1744,159.4308,33157.8905,0.9240,0.9167
25268.1041,46.0265,-8030.1407,94.3278,33157.8906,0.9855,0.9823
26555.4072,46.0265,-6705.6855,57.1758,33157.8905,0.9874,0.9843
27564.3958,46.0329,-5686.8001,47.2727,33157.8903,0.9897,0.9868
26531.7452,46.0365,-6715.0881,42.9064,33157.8904,0.9911,0.9878
27401.0945,46.0353,-5842.6290,39.7977,33157.8905,0.9917,0.9886
27740.0375,46.0348,-5500.7369,36.8490,33157.8906,0.9925,0.9893
28486.6511,46.0333,-4751.7402,34.4675,33157.8905,0.9931,0.9906
27003.6459,46.0370,-6233.2955,33.0140,33157.8905,0.9936,0.9911
28009.5229,46.0392,-5224.9479,30.5407,33157.8909,0.9942,0.9918
28791.6203,46.0340,-4441.0691,28.7648,33157.8906,0.9945,0.9923
28387.2626,46.0386,-4844.5736,27.9070,33157.8905,0.9947,0.9925
28283.4365,46.0372,-4946.5162,26.0251,33157.8904,0.9952,0.9932
8358.0654,22.7967,-10215.4814,36.7993,18513.9509,0.9926,0.9915
-16287.5572,14.9382,-10361.6328,35.2293,-5976.0919,0.9929,0.9916
-25021.7972,14.8968,-10361.6328,34.1152,-14709.1764,0.9930,0.9920
-28433.2372,14.9031,-10361.6328,33.3505,-18119.8580,0.9933,0.9927
-29655.5694,14.9069,-10361.6328,32.5605,-19341.4040,0.9935,0.9929
-30186.5110,14.9103,-10361.6327,31.9957,-19871.7843,0.9936,0.9929
-30460.6337,14.9142,-10361.6328,31.5299,-20145.4450,0.9936,0.9931
-30620.3404,14.9146,-10361.6328,31.1702,-20304.7924,0.9937,0.9933
-30721.8176,14.9160,-10361.6328,30.7337,-20405.8345,0.9938,0.9934
-30790.4590,14.9152,-10361.6328,30.2948,-20474.0361,0.9938,0.9936
-30838.8478,14.9191,-10361.6328,30.1774,-20522.3115,0.9938,0.9937
-30874.4151,14.9170,-10361.6329,30.0814,-20557.7807,0.9939,0.9938
-30901.5448,14.9191,-10361.6328,29.8017,-20584.6329,0.9940,0.9939
-30922.3381,14.9182,-10361.6329,29.8457,-20605.4691,0.9940,0.9940
-30939.0300,14.9197,-10361.6328,29.6554,-20621.9722,0.9939,0.9940
