total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
-4808.5150,46.2003,-6470.0963,1283.7943,331.5867,0.9513,0.9472
-6401.8379,46.0679,-6975.9528,196.4603,331.5866,0.9882,0.9876
-5509.4838,46.0512,-6050.8258,163.7041,331.5867,0.9669,0.9629
-5239.3816,46.0581,-5766.3406,149.3143,331.5867,0.9781,0.9752
-4401.5070,46.0623,-4915.4618,136.3059,331.5867,0.9942,0.9939
-6547.4256,46.0643,-7058.9868,133.9103,331.5867,0.9798,0.9768
-5271.1598,46.0704,-5768.9981,120.1811,331.5866,0.9862,0.9837
-5863.1723,46.0694,-6356.7708,115.9424,331.5867,0.9967,0.9964
-5868.9525,46.0740,-6350.3888,103.7756,331.5866,0.9878,0.9841
-5297.2980,46.0750,-5773.5563,98.5967,331.5866,0.9886,0.9869
-7393.1219,46.0637,-7874.3740,103.6018,331.5866,0.9982,0.9976
-6430.8114,46.0783,-6894.9357,86.4593,331.5867,0.9918,0.9883
-5915.8556,46.0815,-6372.2136,78.6898,331.5866,0.9945,0.9911
-5816.7973,46.0794,-6267.7971,73.3337,331.5867,0.9991,0.9983
-7822.3277,46.0741,-8299.9342,99.9458,331.5867,0.9910,0.9870
-10003.5286,22.3547,-10328.8528,120.9625,182.0070,0.9869,0.9869
-10282.4599,14.9450,-10361.6328,121.1327,-56.9047,0.9969,0.9972
-10365.0420,14.8975,-10361.6328,123.9404,-142.2472,0.9822,0.9832
-10401.9183,14.9014,-10361.6328,123.4228,-178.6097,0.9855,0.9860
-10415.7925,14.9074,-10361.6329,122.8864,-191.9535,0.9967,0.9971
-10420.2747,14.9112,-10361.6328,124.1941,-197.7472,0.9816,0.9828
-10423.3333,14.9146,-10361.6328,124.1119,-200.7271,0.9850,0.9857
-10426.3695,14.9135,-10361.6328,122.8064,-202.4565,0.9966,0.9970
-10425.3299,14.9142,-10361.6328,124.9386,-203.5499,0.9812,0.9825
-10425.9807,14.9134,-10361.6329,125.0244,-204.2857,0.9848,0.9855
-10428.7097,14.9164,-10361.6328,122.8116,-204.8050,0.9965,0.9969
-10426.8592,14.9161,-10361.6328,125.0427,-205.1852,0.9808,0.9821
-10427.6353,14.9157,-10361.6328,124.5538,-205.4721,0.9844,0.9852
-10428.7051,14.9151,-10361.6329,123.7065,-205.6938,0.9964,0.9968
-10427.3290,14.9150,-10361.6328,125.2574,-205.8686,0.9803,0.9817
