total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
-4030.6691,46.4705,-7824.4917,3714.1926,33.1596,0.6025,0.5967
-6500.5672,46.4796,-7004.8684,424.6620,33.1596,0.5600,0.5549
-5987.9321,46.4612,-6337.3665,269.8136,33.1596,0.2318,0.2279
-7963.9310,46.4684,-8200.6300,157.0711,33.1596,0.9755,0.9755
-8973.9472,46.4758,-9101.8281,48.2456,33.1596,0.0188,0.0184
-8033.8475,46.4789,-8155.0449,41.5589,33.1596,0.9315,0.9148
-7060.8429,46.4654,-7182.9373,42.4694,33.1596,0.9943,0.9945
-6991.2869,46.4691,-7108.7230,37.8074,33.1596,0.0324,0.0286
-5658.7804,46.4629,-5779.8682,41.4653,33.1596,0.9156,0.8998
-5328.1020,46.4673,-5449.2452,41.5163,33.1596,0.9956,0.9936
-4420.1425,46.4570,-4537.1105,37.3514,33.1596,0.0150,0.0156
-5867.5223,46.4640,-5988.2844,41.1386,33.1596,0.9454,0.9272
-6651.4990,46.4668,-6772.3940,41.2686,33.1596,0.9945,0.9918
-5925.9328,46.4603,-6041.8817,36.3291,33.1596,0.0210,0.0188
-4938.0106,46.4609,-5057.9901,40.3591,33.1596,0.9488,0.9244
-10121.8661,23.1409,-10209.9654,43.1206,21.8378,0.9961,0.9974
-10310.0819,14.9992,-10361.6328,39.0269,-2.4752,0.0087,0.0107
-10315.5595,14.9133,-10361.6328,42.1405,-10.9805,0.9502,0.9574
-10319.5512,14.9039,-10361.6328,42.9442,-15.7664,0.9959,0.9972
-10325.6121,14.9040,-10361.6328,38.9491,-17.8323,0.0077,0.0096
-10323.3981,14.9052,-10361.6328,42.1535,-18.8239,0.9526,0.9597
-10323.0858,14.9086,-10361.6328,42.9891,-19.3507,0.9959,0.9972
-10327.4360,14.9063,-10361.6328,38.9451,-19.6545,0.0075,0.0094
-10324.3995,14.9078,-10361.6328,42.1672,-19.8418,0.9511,0.9582
-10323.5543,14.9094,-10361.6328,43.1317,-19.9627,0.9955,0.9970
-10327.8284,14.9060,-10361.6328,38.9421,-20.0437,0.0080,0.0099
-10324.6787,14.9078,-10361.6328,42.1460,-20.0997,0.9513,0.9584
-10323.8015,14.9066,-10361.6328,43.0637,-20.1390,0.9959,0.9972
-10327.9624,14.9096,-10361.6328,38.9277,-20.1669,0.0076,0.0095
-10324.7767,14.9051,-10361.6327,42.1380,-20.1871,0.9504,0.9576
