total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
4848006.3502,46.7072,-9.8602,4844653.7035,3315.7997,0.4650,0.4672
344225.0542,46.5278,-9.9569,340872.6835,3315.7997,0.3704,0.3973
59776.8174,46.4420,-10.3616,56424.9372,3315.7998,0.6273,0.6509
22190.2419,46.4417,-10.3616,18838.3620,3315.7998,0.9142,0.9192
7240.7810,46.4379,-10.3616,3888.9049,3315.7997,0.9164,0.9104
5599.3322,46.4369,-10.3616,2247.4572,3315.7997,0.9898,0.9882
5352.4949,46.4379,-10.3616,2000.6188,3315.7997,0.9343,0.9306
5359.3963,46.4404,-10.3616,2007.5178,3315.7997,0.9918,0.9905
5198.7963,46.4375,-10.3616,1846.9207,3315.7997,0.9449,0.9405
5232.5401,46.4383,-10.3616,1880.6636,3315.7997,0.9929,0.9918
5109.0314,46.4341,-10.3613,1757.1589,3315.7997,0.9514,0.9477
5148.3949,46.4405,-10.3585,1796.5132,3315.7997,0.9937,0.9929
5042.7903,46.4415,-10.3489,1690.8979,3315.7997,0.9558,0.9529
5088.0953,46.4373,-10.3233,1736.1815,3315.7997,0.9942,0.9936
5012.8167,46.4403,-10.2550,1660.8317,3315.7997,0.9592,0.9563
3582.9785,22.8915,-10.3557,1703.7574,1866.6853,0.9946,0.9942
1037.4337,14.9451,-10.3599,1624.5362,-591.6877,0.9613,0.9584
208.4279,14.8976,-10.3600,1673.6199,-1469.7297,0.9949,0.9947
-200.8906,14.9030,-10.3599,1606.5872,-1812.0210,0.9637,0.9608
-278.1848,14.9094,-10.3598,1651.3903,-1934.1248,0.9951,0.9950
-396.5802,14.9084,-10.3596,1585.9581,-1987.0870,0.9648,0.9632
-382.5551,14.9108,-10.3593,1627.3016,-2014.4081,0.9952,0.9952
-448.2201,14.9147,-10.3592,1577.5398,-2030.3153,0.9663,0.9646
-420.5175,14.9148,-10.3590,1615.3281,-2040.4014,0.9953,0.9954
-478.1643,14.9135,-10.3588,1564.4902,-2047.2091,0.9680,0.9660
-447.4650,14.9167,-10.3587,1600.0047,-2052.0277,0.9954,0.9955
-494.7189,14.9179,-10.3586,1556.2896,-2055.5679,0.9689,0.9663
-454.7474,14.9176,-10.3585,1598.9415,-2058.2479,0.9955,0.9957
-500.4740,14.9204,-10.3584,1555.2914,-2060.3274,0.9702,0.9674
-469.1641,14.9182,-10.3583,1588.2505,-2061.9744,0.9955,0.9956
