total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
2382.0453,46.3693,-5387.3275,7689.8455,33.1581,0.5047,0.5028
299.5882,46.3460,-5088.2216,5308.3057,33.1581,0.5109,0.5079
-1248.9625,46.3493,-4256.0119,2927.5420,33.1581,0.5332,0.5318
-2953.4881,46.3697,-3706.3086,673.2927,33.1581,0.8224,0.8119
-3222.8009,46.4506,-3344.6019,42.1924,33.1581,0.8460,0.8340
-1955.7164,46.3689,-2067.3590,32.1156,33.1581,0.8686,0.8548
-2088.0517,46.3727,-2191.3434,23.7610,33.1581,0.8934,0.8840
-2069.7026,46.3735,-2165.2559,16.0217,33.1581,0.9183,0.9133
-1929.3282,46.3735,-2018.1995,9.3398,33.1581,0.9427,0.9422
-1720.0523,46.3686,-1804.1076,4.5287,33.1581,0.9643,0.9620
-1513.3235,46.3692,-1594.9887,2.1380,33.1581,0.9774,0.9746
-1425.2967,46.3768,-1506.1811,1.3496,33.1581,0.9835,0.9819
-1365.3033,46.3750,-1445.9584,1.1219,33.1581,0.9851,0.9812
-1337.6784,46.3815,-1418.2550,1.0370,33.1581,0.9862,0.9834
-1308.1042,46.3761,-1388.6394,1.0011,33.1581,0.9864,0.9835
-10183.8889,22.8539,-10228.6144,1.0565,20.8152,0.9823,0.9786
-10348.4728,14.9960,-10361.6328,1.0371,-2.8730,0.9866,0.9833
-10356.7478,14.9129,-10361.6328,1.0192,-11.0471,0.9855,0.9821
-10361.4147,14.9030,-10361.6328,1.0107,-15.6957,0.9874,0.9838
-10363.5174,14.9043,-10361.6329,0.9937,-17.7824,0.9837,0.9801
-10364.5407,14.9051,-10361.6328,0.9812,-18.7942,0.9837,0.9804
-10365.0906,14.9069,-10361.6328,0.9676,-19.3323,0.9849,0.9822
-10365.4122,14.9070,-10361.6328,0.9561,-19.6425,0.9870,0.9833
-10365.6113,14.9081,-10361.6327,0.9469,-19.8335,0.9887,0.9848
-10365.7448,14.9086,-10361.6329,0.9364,-19.9569,0.9840,0.9800
-10365.8438,14.9080,-10361.6328,0.9208,-20.0398,0.9876,0.9844
-10365.9116,14.9077,-10361.6328,0.9104,-20.0969,0.9843,0.9801
-10365.9596,14.9071,-10361.6327,0.9030,-20.1370,0.9905,0.9872
-10365.9946,14.9061,-10361.6328,0.8978,-20.1656,0.9873,0.9841
-10366.0402,14.9062,-10361.6328,0.8727,-20.1863,0.9885,0.9855
