total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
33201.2520,46.2654,-36.5826,34.4503,33157.1190,0.4196,0.4213
33189.5619,46.2178,-24.4779,10.7031,33157.1189,0.4006,0.4140
33191.4643,46.1815,-22.6637,10.8271,33157.1194,0.9943,0.9958
33194.0945,46.1731,-19.9004,10.7033,33157.1185,0.9962,0.9972
33198.4851,46.1612,-15.6262,10.8316,33157.1185,0.9178,0.9196
33201.8465,46.1400,-11.7850,10.3728,33157.1187,0.3977,0.4034
33205.4597,46.1033,-8.3759,10.6137,33157.1186,0.3274,0.3432
33206.7777,46.0906,-7.2007,10.7690,33157.1189,0.9958,0.9970
33206.8630,46.0979,-7.0101,10.6559,33157.1192,0.9969,0.9978
33207.0631,46.1025,-6.9730,10.8141,33157.1195,0.9270,0.9293
33206.5603,46.1045,-6.9573,10.2941,33157.1190,0.3948,0.4008
33206.8733,46.1014,-6.9483,10.6014,33157.1188,0.3088,0.3245
33207.0270,46.1100,-6.9425,10.7404,33157.1191,0.9964,0.9975
33206.9005,46.1062,-6.9386,10.6144,33157.1185,0.9974,0.9981
33207.0715,46.1063,-6.9362,10.7822,33157.1193,0.9303,0.9328
17804.7627,23.7903,-82.1005,10.3013,17852.7716,0.3930,0.3979
-6130.8274,14.9367,-103.6163,10.5710,-6052.7188,0.2986,0.3136
-14653.9640,14.8904,-103.6161,10.7273,-14575.9656,0.9968,0.9977
-18129.9605,14.8975,-103.6160,10.6604,-18051.9024,0.9975,0.9983
-19386.7989,14.9026,-103.6161,10.7687,-19308.8540,0.9335,0.9362
-19931.6197,14.9092,-103.6160,10.2952,-19853.2081,0.3942,0.3991
-20211.5806,14.9117,-103.6160,10.5765,-20133.4529,0.2912,0.3058
-20374.3728,14.9122,-103.6160,10.7309,-20296.3999,0.9970,0.9979
-20477.6953,14.9174,-103.6160,10.6282,-20399.6249,0.9977,0.9984
-20547.1568,14.9160,-103.6160,10.7955,-20469.2523,0.9368,0.9397
-20596.9265,14.9189,-103.6159,10.2822,-20518.5117,0.3910,0.3965
-20632.8276,14.9185,-103.6159,10.5588,-20554.6891,0.2873,0.3019
-20660.0475,14.9171,-103.6159,10.7207,-20582.0694,0.9971,0.9980
-20681.3531,14.9203,-103.6158,10.6519,-20603.3095,0.9978,0.9985
-20698.0718,14.9185,-103.6159,10.7549,-20620.1293,0.9373,0.9404
