total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
715830.3203,46.1362,-9.9556,715760.9818,33.1579,0.5030,0.5023
477611.7420,46.1380,-10.3312,477542.7772,33.1579,0.5088,0.5061
239461.3057,46.1326,-10.2982,239392.3134,33.1579,0.5369,0.5343
33688.7942,46.1472,-10.1737,33619.6628,33.1579,0.8473,0.8401
2004.5364,46.1785,-10.3616,1935.5617,33.1579,0.9133,0.9105
816.4816,46.1765,-10.3616,747.5088,33.1579,0.9561,0.9533
281.4784,46.1762,-10.3616,212.5060,33.1579,0.9644,0.9635
178.4865,46.1786,-10.3615,109.5116,33.1579,0.9838,0.9822
168.7648,46.1784,-10.3601,99.7886,33.1579,0.9921,0.9900
165.0881,46.1775,-10.3291,96.0818,33.1579,0.9826,0.9800
156.5396,46.1556,-9.3452,86.5714,33.1579,0.9873,0.9851
151.6396,46.1555,-8.9730,81.2992,33.1579,0.9940,0.9923
149.4121,46.1512,-8.4967,78.5996,33.1579,0.9862,0.9833
145.8555,46.1522,-8.0989,74.6443,33.1579,0.9899,0.9872
143.1314,46.1498,-7.7157,71.5394,33.1579,0.9950,0.9931
114.5550,23.9811,-9.6732,70.2095,30.0376,0.9878,0.9844
90.3140,14.9374,-9.9773,67.4725,17.8815,0.9907,0.9880
77.7896,14.8525,-10.0371,65.2357,7.7384,0.9956,0.9936
72.0259,14.8439,-10.1416,63.8663,3.4573,0.9893,0.9857
68.8238,14.8445,-9.9443,62.0020,1.9216,0.9915,0.9884
66.1454,14.8404,-10.0170,60.0465,1.2755,0.9960,0.9944
63.7913,14.8354,-10.0889,58.0899,0.9550,0.9906,0.9872
61.6255,14.8371,-10.2173,56.2290,0.7767,0.9925,0.9893
60.0764,14.8362,-10.2439,54.8139,0.6702,0.9964,0.9952
60.4428,14.8404,-9.9557,54.9546,0.6034,0.9912,0.9877
58.9958,14.8364,-10.0362,53.6352,0.5605,0.9929,0.9900
57.1763,14.8397,-10.0648,51.8693,0.5320,0.9966,0.9954
55.9195,14.8373,-10.1191,50.6882,0.5132,0.9919,0.9875
54.4388,14.8356,-10.1892,49.2917,0.5007,0.9934,0.9907
53.6317,14.8345,-10.2167,48.5216,0.4923,0.9969,0.9957
