total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
49230.5220,46.3406,-870.5435,46738.7741,3315.9507,0.4714,0.4720
5159.4753,46.2255,-916.2653,2713.5643,3315.9507,0.3240,0.3443
2690.5629,46.1709,-1015.6110,344.0523,3315.9508,0.5694,0.5858
2680.1722,46.1726,-805.6419,123.6908,3315.9507,0.8714,0.8777
2606.0559,46.1707,-791.1422,35.0767,3315.9507,0.9729,0.9699
2967.8995,46.2640,-411.1988,16.8837,3315.9507,0.9938,0.9931
2945.5118,46.3447,-431.8390,15.0553,3315.9508,0.9789,0.9762
2907.8361,46.3450,-468.6588,14.1992,3315.9507,0.9865,0.9850
3026.6781,46.3459,-349.2999,13.6813,3315.9507,0.9982,0.9980
3070.5477,46.3298,-305.3453,13.6124,3315.9507,0.9882,0.9870
3000.1744,46.3219,-375.1874,13.0891,3315.9507,0.9921,0.9915
3027.2615,46.3107,-347.7315,12.7316,3315.9508,0.9990,0.9989
2975.6886,46.3057,-399.2871,12.7193,3315.9507,0.9915,0.9906
2925.7803,46.3102,-448.9198,12.4392,3315.9507,0.9933,0.9929
2928.4327,46.3080,-445.9071,12.0811,3315.9507,0.9991,0.9991
853.6544,22.5135,-1021.8102,13.3660,1839.5852,0.9896,0.9892
-1605.5223,14.9406,-1036.1633,13.1535,-597.4531,0.9920,0.9921
-2474.2402,14.8970,-1036.1633,13.0477,-1466.0216,0.9989,0.9991
-2816.7493,14.9008,-1036.1633,13.3742,-1808.8609,0.9898,0.9897
-2940.3167,14.9062,-1036.1633,13.1671,-1932.2267,0.9921,0.9924
-2994.0664,14.9102,-1036.1633,13.0652,-1985.8785,0.9989,0.9991
-3021.4420,14.9126,-1036.1633,13.3916,-2013.5828,0.9899,0.9899
-3037.7849,14.9135,-1036.1633,13.1841,-2029.7192,0.9922,0.9925
-3048.1174,14.9172,-1036.1632,13.0805,-2039.9519,0.9989,0.9991
-3054.7732,14.9184,-1036.1633,13.3302,-2046.8586,0.9899,0.9899
-3059.8660,14.9174,-1036.1632,13.1269,-2051.7471,0.9923,0.9926
-3063.5752,14.9178,-1036.1632,13.0086,-2055.3384,0.9989,0.9991
-3066.0323,14.9171,-1036.1632,13.2707,-2058.0569,0.9900,0.9900
-3068.2459,14.9188,-1036.1630,13.1644,-2060.1662,0.9924,0.9926
-3070.0034,14.9176,-1036.1630,13.0786,-2061.8365,0.9989,0.9992
