total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
40713.9627,45.8467,-7.1507,7517.2818,33157.9850,0.5024,0.5015
38332.2173,45.8584,-6.2335,5134.6069,33157.9855,0.5073,0.5046
35951.4422,45.8602,-5.0653,2752.6625,33157.9849,0.5268,0.5252
33749.3901,45.8425,-4.3978,549.9602,33157.9852,0.7889,0.7861
33234.9343,45.7734,-3.9014,35.0776,33157.9847,0.8318,0.8242
33226.4860,45.7966,-2.6744,25.3789,33157.9850,0.8639,0.8597
33218.1696,45.7934,-2.8776,17.2684,33157.9853,0.8965,0.8975
33211.4363,45.7926,-2.8111,10.4697,33157.9850,0.9257,0.9247
33206.8118,45.7855,-2.5648,5.6060,33157.9851,0.9493,0.9470
33204.2461,45.7760,-2.2193,2.7048,33157.9846,0.9707,0.9706
33203.3032,45.7561,-1.8110,1.3732,33157.9850,0.9830,0.9825
33203.0689,45.7352,-1.5744,0.9229,33157.9851,0.9898,0.9877
33203.0419,45.7262,-1.4573,0.7878,33157.9853,0.9909,0.9883
33203.0372,45.7251,-1.4049,0.7324,33157.9846,0.9908,0.9881
33203.0249,45.7197,-1.3767,0.6967,33157.9852,0.9907,0.9875
18191.7554,22.5555,-10.1412,0.7609,18178.5802,0.9899,0.9883
-6053.0397,14.9377,-10.3538,0.7246,-6058.3481,0.9903,0.9888
-14621.0014,14.8970,-10.3563,0.6994,-14626.2415,0.9897,0.9879
-18061.8032,14.9043,-10.3575,0.6585,-18067.0085,0.9903,0.9886
-19307.0217,14.9070,-10.3579,0.6324,-19312.2032,0.9892,0.9865
-19848.7329,14.9080,-10.3581,0.6010,-19853.8838,0.9907,0.9886
-20128.3203,14.9133,-10.3581,0.5750,-20133.4505,0.9907,0.9885
-20291.1090,14.9165,-10.3581,0.5506,-20296.2180,0.9905,0.9883
-20394.3176,14.9160,-10.3581,0.5313,-20399.4068,0.9911,0.9888
-20463.9755,14.9144,-10.3582,0.5103,-20469.0420,0.9905,0.9882
-20513.2673,14.9191,-10.3581,0.4935,-20518.3217,0.9922,0.9899
-20549.4795,14.9180,-10.3582,0.4821,-20554.5214,0.9907,0.9885
-20576.8954,14.9188,-10.3580,0.4659,-20581.9222,0.9913,0.9888
-20598.1694,14.9175,-10.3581,0.4519,-20603.1808,0.9918,0.9895
-20615.0075,14.9197,-10.3581,0.4469,-20620.0161,0.9917,0.9896
